	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0071216	GO:0071216	cellular response to biotic stimulus	45/538	236/18670	2.850105500676019e-24	1.2193269532892131e-21	8.58031761256149e-22	CLEC7A/TLR2/CD14/FCGR2B/SYK/LILRB2/HCK/CCR5/PYCARD/TNFAIP3/CD86/TNFRSF1B/CCL2/CEBPB/LY96/LILRB1/TLR1/LYN/LY86/HAMP/IRF8/CCL5/CASP1/ICAM1/IL1B/CXCL6/IL6/IL18/TREM2/LTF/CXCL2/CXCL1/CD55/SPON2/SERPINE1/CXCL5/ZFP36/CD36/PPBP/CXCL3/CXCL13/CXCL9/CXCL10/ASS1/CX3CR1	45
GO:0097529	GO:0097529	myeloid leukocyte migration	42/538	210/18670	1.435490718952028e-23	5.629516102823536e-21	3.961450703353579e-21	IL1R1/S100A8/AIF1/SYK/SLAMF8/CCR1/ITGB2/C3AR1/NCKAP1L/PTGER4/FCER1G/C5AR1/S100A9/CCL2/THBS1/LYN/CXCL12/CCL20/CCL5/RAC2/IL1B/CD74/CCL18/CXCL6/IL6/TREM2/CXCL2/CXCL1/SERPINE1/DUSP1/CXCL5/PPBP/CXCL3/CXCL13/ANXA1/CCL4/SLIT2/CXCL9/CXCL10/RARRES2/LGALS3/CX3CR1	42
GO:0030595	GO:0030595	leukocyte chemotaxis	43/538	224/18670	2.3288648249909606e-23	8.430490666467277e-21	5.9324767120822375e-21	S100A8/AIF1/SYK/SLAMF8/CCR1/CCR5/ITGB2/C3AR1/NCKAP1L/FCER1G/C5AR1/S100A9/CCL2/THBS1/LYN/CH25H/CXCL12/CCL20/CCL5/RAC2/IL1B/CD74/CCL18/CORO1A/CXCR4/CXCL6/IL6/CXCL2/CXCL1/SERPINE1/CXCL14/DUSP1/CXCL5/PPBP/CXCL3/CXCL13/ANXA1/CCL4/SLIT2/CXCL9/CXCL10/RARRES2/LGALS3	43
GO:0071222	GO:0071222	cellular response to lipopolysaccharide	40/538	205/18670	4.438543747565542e-22	1.4919847768602458e-19	1.0498991451008418e-19	TLR2/CD14/LILRB2/HCK/CCR5/PYCARD/TNFAIP3/CD86/TNFRSF1B/CCL2/CEBPB/LY96/LILRB1/LYN/LY86/HAMP/IRF8/CCL5/CASP1/ICAM1/IL1B/CXCL6/IL6/IL18/LTF/CXCL2/CXCL1/CD55/SPON2/SERPINE1/CXCL5/ZFP36/CD36/PPBP/CXCL3/CXCL13/CXCL9/CXCL10/ASS1/CX3CR1	40
GO:0060326	GO:0060326	cell chemotaxis	47/538	304/18670	2.8022423375156638e-21	8.79156829356581e-19	6.18656448689423e-19	S100A8/AIF1/SYK/SLAMF8/CCR1/CCR5/ITGB2/C3AR1/NCKAP1L/FCER1G/C5AR1/S100A9/CCL2/THBS1/BIN2/LYN/CH25H/CXCL12/CCL20/CCL5/RAC2/IL1B/CD74/CCL18/CORO1A/CXCR4/CXCL6/IL6/CXCL2/CXCL1/LOX/SERPINE1/CXCL14/DUSP1/CXCL5/VCAM1/PPBP/CXCL3/CXCL13/ANXA1/CCL4/SLIT2/CXCL9/CXCL10/RARRES2/LGALS3/CX3CR1	47
GO:0097530	GO:0097530	granulocyte migration	33/538	141/18670	5.139181020974443e-21	1.5115616177941082e-18	1.0636752297358949e-18	IL1R1/S100A8/SYK/SLAMF8/ITGB2/C3AR1/NCKAP1L/PTGER4/FCER1G/C5AR1/S100A9/CCL2/THBS1/CCL20/CCL5/RAC2/IL1B/CD74/CCL18/CXCL6/CXCL2/CXCL1/CXCL5/PPBP/CXCL3/CXCL13/ANXA1/CCL4/SLIT2/CXCL9/CXCL10/RARRES2/LGALS3	33
GO:0007159	GO:0007159	leukocyte cell-cell adhesion	49/538	337/18670	5.830518413214688e-21	1.6140246854463719e-18	1.135777766437982e-18	IL4R/MAP3K8/S100A8/AIF1/PTPRC/FCGR2B/SYK/LILRB2/ITGB2/NCKAP1L/PYCARD/S100A9/CD86/CCL2/HLA-DMB/FGL2/CEBPB/LILRB1/CD4/IL7R/TGFBR2/VSIG4/HLA-DPB1/LYN/PTPN6/CXCL12/CCL5/LRRC32/HLA-DPA1/ICAM1/SELL/RAC2/IL1B/CD74/LILRB4/ITGA5/GPNMB/CORO1A/IL6/IL18/CD55/VCAM1/ANXA1/CD44/CAV1/ASS1/SDC4/LGALS3/CX3CR1	49
GO:0070663	GO:0070663	regulation of leukocyte proliferation	40/538	222/18670	9.542255508492368e-21	2.494769690164727e-18	1.7555518029074262e-18	AIF1/PTPRC/FCGR2B/SYK/LILRB2/MNDA/NCKAP1L/PYCARD/TNFAIP3/CD86/TNFRSF1B/HLA-DMB/TYROBP/CEBPB/LILRB1/CD4/TGFBR2/VSIG4/HLA-DPB1/LYN/PTPN6/CCL5/LRRC32/HLA-DPA1/LST1/RAC2/IL1B/CD74/GPNMB/CORO1A/IL6/IL18/AHR/CD55/VCAM1/SOX11/ANXA1/SDC4/LGALS3/BST2	40
GO:0070661	GO:0070661	leukocyte proliferation	45/538	298/18670	5.358905164925955e-20	1.3009702316017962e-17	9.154835593126918e-18	AIF1/PTPRC/FCGR2B/SYK/LILRB2/MNDA/NCKAP1L/DOCK2/PYCARD/TNFAIP3/CD86/TNFRSF1B/HLA-DMB/TYROBP/CEBPB/LILRB1/CD4/IL7R/TGFBR2/VSIG4/TCIRG1/HLA-DPB1/LYN/CSF1R/PTPN6/CCL5/LRRC32/HLA-DPA1/LST1/RAC2/IL1B/CD74/GPNMB/CORO1A/IL6/IL18/TREM2/AHR/CD55/VCAM1/SOX11/ANXA1/SDC4/LGALS3/BST2	45
GO:0050670	GO:0050670	regulation of lymphocyte proliferation	38/538	208/18670	5.528985259676142e-20	1.3009702316017962e-17	9.154835593126918e-18	AIF1/PTPRC/FCGR2B/SYK/LILRB2/MNDA/NCKAP1L/PYCARD/CD86/TNFRSF1B/HLA-DMB/TYROBP/CEBPB/LILRB1/CD4/TGFBR2/VSIG4/HLA-DPB1/LYN/PTPN6/CCL5/LRRC32/HLA-DPA1/LST1/RAC2/IL1B/CD74/GPNMB/CORO1A/IL6/IL18/AHR/CD55/VCAM1/SOX11/ANXA1/SDC4/LGALS3	38
GO:0032944	GO:0032944	regulation of mononuclear cell proliferation	38/538	209/18670	6.579979067058597e-20	1.474541975694179e-17	1.0376247691712456e-17	AIF1/PTPRC/FCGR2B/SYK/LILRB2/MNDA/NCKAP1L/PYCARD/CD86/TNFRSF1B/HLA-DMB/TYROBP/CEBPB/LILRB1/CD4/TGFBR2/VSIG4/HLA-DPB1/LYN/PTPN6/CCL5/LRRC32/HLA-DPA1/LST1/RAC2/IL1B/CD74/GPNMB/CORO1A/IL6/IL18/AHR/CD55/VCAM1/SOX11/ANXA1/SDC4/LGALS3	38
GO:0042110	GO:0042110	T cell activation	56/538	464/18670	7.08506569555283e-20	1.5155599619668917e-17	1.0664888362779523e-17	CLEC7A/IL4R/MAP3K8/AIF1/PTPRC/MAFB/FCGR2B/SYK/LILRB2/NCKAP1L/DOCK2/PYCARD/PTGER4/FCER1G/CD86/TNFRSF1B/CCL2/HLA-DMB/FGL2/CEBPB/LILRB1/CD4/IL7R/TGFBR2/VSIG4/TCIRG1/HLA-DPB1/LYN/CLEC4A/PTPN6/LCP1/CCL5/LRRC32/HLA-DPA1/ICAM1/CD2/RAC2/IL1B/CD74/LILRB4/GPNMB/CORO1A/RAB27A/IL6/IL18/CHD7/CD3D/CD55/VCAM1/SOX4/ANXA1/CD44/CAV1/FZD7/SDC4/LGALS3	56
GO:0071621	GO:0071621	granulocyte chemotaxis	30/538	123/18670	9.086621016344672e-20	1.859201674039914e-17	1.3083070808888027e-17	S100A8/SYK/ITGB2/C3AR1/NCKAP1L/FCER1G/C5AR1/S100A9/CCL2/THBS1/CCL20/CCL5/RAC2/IL1B/CD74/CCL18/CXCL6/CXCL2/CXCL1/CXCL5/PPBP/CXCL3/CXCL13/ANXA1/CCL4/SLIT2/CXCL9/CXCL10/RARRES2/LGALS3	30
GO:1990266	GO:1990266	neutrophil migration	29/538	118/18670	2.99801099011012e-19	5.878599883107594e-17	4.1367291995115957e-17	IL1R1/S100A8/SYK/SLAMF8/ITGB2/C3AR1/NCKAP1L/FCER1G/C5AR1/S100A9/CCL2/CCL20/CCL5/RAC2/IL1B/CD74/CCL18/CXCL6/CXCL2/CXCL1/CXCL5/PPBP/CXCL3/CXCL13/CCL4/SLIT2/CXCL9/CXCL10/LGALS3	29
GO:0030593	GO:0030593	neutrophil chemotaxis	27/538	104/18670	1.116592846449124e-18	2.1018743741558312e-16	1.4790741452332396e-16	S100A8/SYK/ITGB2/C3AR1/NCKAP1L/FCER1G/C5AR1/S100A9/CCL2/CCL20/CCL5/RAC2/IL1B/CD74/CCL18/CXCL6/CXCL2/CXCL1/CXCL5/PPBP/CXCL3/CXCL13/CCL4/SLIT2/CXCL9/CXCL10/LGALS3	27
GO:0001819	GO:0001819	positive regulation of cytokine production	54/538	464/18670	1.767900106453765e-18	3.199899192681315e-16	2.251746451377954e-16	IL1R1/CLEC7A/IL4R/TLR2/CD14/AIF1/PTPRC/LUM/SYK/LILRB2/MNDA/C3AR1/PYCARD/PTGER4/FCER1G/C5AR1/PLCG2/CD86/TLR5/CYBB/CYP1B1/TYROBP/CEBPB/LY96/LILRB1/CD4/TLR1/CYBA/THBS1/HLA-DPB1/TLR7/CSF1R/IRF8/BIRC3/HLA-DPA1/CASP1/CD2/HMOX1/IL1B/CD74/C3/SULF1/FGR/IL6/IL18/TREM2/POSTN/CLEC5A/PTGS2/SPON2/SERPINE1/CD36/ANXA1/TWIST1	54
GO:0050727	GO:0050727	regulation of inflammatory response	55/538	485/18670	2.7325741579522385e-18	4.762775550860458e-16	3.3515315013324537e-16	IL1R1/CLEC7A/S100A8/TLR2/PTPRC/FCGR2B/SLAMF8/HCK/C3AR1/VAMP8/PYCARD/PTGER4/FCER1G/C5AR1/TNFAIP3/S100A9/CTSC/C1QA/C1S/TNFRSF1B/CEBPB/VSIG4/C2/C1QB/TLR7/LYN/SERPINF1/CCL5/BIRC3/SERPING1/IL1B/MGST2/CFI/CCL18/C3/PLA2G2A/IL6/IL18/CFH/TREM2/PTGS2/CD55/MMP9/SERPINE1/NUPR1/C7/A2M/PBK/IGKC/IL1R2/CEBPA/ACP5/ANXA1/TNFAIP6/GPR17	55
GO:1903037	GO:1903037	regulation of leukocyte cell-cell adhesion	43/538	304/18670	4.644340113208472e-18	7.805808775985383e-16	5.492892479757088e-16	IL4R/MAP3K8/AIF1/PTPRC/FCGR2B/SYK/LILRB2/ITGB2/NCKAP1L/PYCARD/CD86/CCL2/HLA-DMB/FGL2/CEBPB/LILRB1/CD4/IL7R/TGFBR2/VSIG4/HLA-DPB1/LYN/PTPN6/CXCL12/CCL5/LRRC32/HLA-DPA1/ICAM1/IL1B/CD74/LILRB4/GPNMB/CORO1A/IL6/IL18/CD55/VCAM1/ANXA1/CD44/CAV1/ASS1/SDC4/LGALS3	43
GO:0032103	GO:0032103	positive regulation of response to external stimulus	44/538	323/18670	8.079578089409196e-18	1.3111204996124027e-15	9.22626231189885e-16	CLEC7A/S100A8/TLR2/THBD/AIF1/CCR1/C3AR1/NCKAP1L/VAMP8/PTGER4/FCER1G/C5AR1/S100A9/CTSC/CEBPB/LY96/CYBA/THBS1/TLR7/LY86/CXCL12/CCL5/RAC2/IL1B/CD74/MGST2/CCL18/C3/PLA2G2A/CXCR4/IL6/IL18/DSCAM/TREM2/PTGS2/SERPINE1/CXCL14/NUPR1/CEBPA/CXCL13/CCL4/SLIT2/CXCL10/RARRES2	44
GO:0006959	GO:0006959	humoral immune response	46/538	356/18670	1.1613796063909259e-17	1.8218174758918993e-15	1.2820000848090711e-15	S100A8/PTPRC/FCGR2B/C3AR1/LYZ/C5AR1/S100A9/C1QA/C1S/CCL2/CFD/TREM1/VSIG4/C2/RNASE6/C1QB/HLA-DQB1/PTPN6/SERPING1/IL1B/CFI/C3/PLA2G2A/CXCL6/IL6/PI3/CFH/TREM2/SLPI/LTF/BLNK/CXCL2/CXCL1/CD55/SPON2/C1RL/CXCL5/C7/A2M/IGKC/PPBP/CXCL3/CXCL13/CXCL9/CXCL10/RARRES2	46
GO:0046651	GO:0046651	lymphocyte proliferation	40/538	272/18670	1.75919353770206e-17	2.6705692865889982e-15	1.879260736709909e-15	AIF1/PTPRC/FCGR2B/SYK/LILRB2/MNDA/NCKAP1L/DOCK2/PYCARD/CD86/TNFRSF1B/HLA-DMB/TYROBP/CEBPB/LILRB1/CD4/IL7R/TGFBR2/VSIG4/HLA-DPB1/LYN/PTPN6/CCL5/LRRC32/HLA-DPA1/LST1/RAC2/IL1B/CD74/GPNMB/CORO1A/IL6/IL18/AHR/CD55/VCAM1/SOX11/ANXA1/SDC4/LGALS3	40
GO:0032943	GO:0032943	mononuclear cell proliferation	40/538	274/18670	2.2883359146620812e-17	3.365284004499923e-15	2.3681265748443774e-15	AIF1/PTPRC/FCGR2B/SYK/LILRB2/MNDA/NCKAP1L/DOCK2/PYCARD/CD86/TNFRSF1B/HLA-DMB/TYROBP/CEBPB/LILRB1/CD4/IL7R/TGFBR2/VSIG4/HLA-DPB1/LYN/PTPN6/CCL5/LRRC32/HLA-DPA1/LST1/RAC2/IL1B/CD74/GPNMB/CORO1A/IL6/IL18/AHR/CD55/VCAM1/SOX11/ANXA1/SDC4/LGALS3	40
GO:0002683	GO:0002683	negative regulation of immune system process	52/538	463/18670	3.6730974567911353e-17	5.238059585351237e-15	3.685985518043034e-15	IL4R/CD14/PTPRC/COL3A1/MAFB/FCGR2B/LILRB2/SLAMF8/MNDA/PTGER4/FCER1G/TNFAIP3/CD86/CCL2/TYROBP/FGL2/CEBPB/LY96/LILRB1/IL7R/VSIG4/THBS1/SAMSN1/LYN/LPXN/PTPN6/CXCL12/TMEM176B/TRIM38/FBN1/LRRC32/LST1/SERPING1/HMOX1/CD74/LILRB4/GPNMB/TMEM176A/LTF/CD55/DUSP1/ZFP36/A2M/GBP1/SOX11/ANXA1/SLIT2/SDC4/LGALS3/BST2/GPR17/IL13RA2	52
GO:0022407	GO:0022407	regulation of cell-cell adhesion	48/538	403/18670	6.158437967502638e-17	8.524002669137474e-15	5.9982804476047375e-15	IL4R/MAP3K8/AIF1/PTPRC/FCGR2B/SYK/LILRB2/ITGB2/NCKAP1L/PYCARD/CD86/CCL2/HLA-DMB/FGL2/CEBPB/LILRB1/CD4/IL7R/TGFBR2/VSIG4/HLA-DPB1/LYN/PTPN6/CXCL12/CCL5/LRRC32/HLA-DPA1/ICAM1/IL1B/CD74/LILRB4/GPNMB/CORO1A/FXYD5/IL6/IL18/CD55/SNAI2/VCAM1/SPINT2/CXCL13/ANXA1/CD44/CAV1/ASS1/SDC4/LGALS3/PDPN	48
GO:0002697	GO:0002697	regulation of immune effector process	51/538	458/18670	1.078085067301527e-16	1.4495623790631387e-14	1.0200468035280011e-14	IL1R1/IL4R/PTPRC/FCGR2B/SYK/SLAMF8/ITGB2/C3AR1/VAMP8/PYCARD/FCER1G/C5AR1/TNFAIP3/C1QA/CD86/C1S/TNFRSF1B/HLA-DMB/FGL2/LILRB1/IL7R/VSIG4/C2/C1QB/LYN/PTPN6/TRIM38/BIRC3/SERPING1/RAC2/HMOX1/IL1B/CD74/CFI/C3/FGR/CXCL6/IL6/IL18/CFH/APOBEC3G/CD55/SPON2/C7/A2M/CD36/IGKC/ANXA1/LGALS3/BST2/IL13RA2	51
GO:0042129	GO:0042129	regulation of T cell proliferation	30/538	156/18670	1.125903579305701e-16	1.4718061789479525e-14	1.0356996083320864e-14	AIF1/PTPRC/SYK/LILRB2/NCKAP1L/PYCARD/CD86/TNFRSF1B/HLA-DMB/CEBPB/LILRB1/CD4/TGFBR2/VSIG4/HLA-DPB1/PTPN6/CCL5/LRRC32/HLA-DPA1/RAC2/IL1B/GPNMB/CORO1A/IL6/IL18/CD55/VCAM1/ANXA1/SDC4/LGALS3	30
GO:1990868	GO:1990868	response to chemokine	24/538	97/18670	3.1715564475908755e-16	3.9277222743059634e-14	2.7639104111138214e-14	CCR1/CCR5/CCL2/CXCL12/CCL20/CCL5/CCL18/CXCR4/CXCL6/TREM2/CXCL2/CXCL1/LOX/DUSP1/CXCL5/PPBP/CXCL3/CXCL13/CCL4/SLIT2/CXCL9/CXCL10/CX3CR1/GPR17	24
GO:1990869	GO:1990869	cellular response to chemokine	24/538	97/18670	3.1715564475908755e-16	3.9277222743059634e-14	2.7639104111138214e-14	CCR1/CCR5/CCL2/CXCL12/CCL20/CCL5/CCL18/CXCR4/CXCL6/TREM2/CXCL2/CXCL1/LOX/DUSP1/CXCL5/PPBP/CXCL3/CXCL13/CCL4/SLIT2/CXCL9/CXCL10/CX3CR1/GPR17	24
GO:0019882	GO:0019882	antigen processing and presentation	35/538	226/18670	3.7261756727314064e-16	4.496251978429231e-14	3.163980746670177e-14	IFI30/FCGR2B/LILRB2/CTSS/NCF4/VAMP8/PYCARD/FCER1G/NCF2/HLA-DMA/CYBB/HLA-DMB/FGL2/FCGR1A/CYBA/THBS1/HLA-DPB1/HLA-DQB1/HLA-DRA/CLEC4A/HLA-DRB1/CTSH/HLA-DPA1/ICAM1/CD74/RAB27A/TREM2/KIF15/RFTN1/KIF2C/RAB32/CD36/KIF11/RAB33A/HLA-DQA1	35
GO:0050863	GO:0050863	regulation of T cell activation	41/538	314/18670	5.063400772389939e-16	5.957091008716763e-14	4.1919628499838814e-14	IL4R/MAP3K8/AIF1/PTPRC/FCGR2B/SYK/LILRB2/NCKAP1L/PYCARD/CD86/TNFRSF1B/CCL2/HLA-DMB/FGL2/CEBPB/LILRB1/CD4/IL7R/TGFBR2/VSIG4/HLA-DPB1/LYN/PTPN6/CCL5/LRRC32/HLA-DPA1/CD2/RAC2/IL1B/CD74/LILRB4/GPNMB/CORO1A/IL6/IL18/CD55/VCAM1/ANXA1/CAV1/SDC4/LGALS3	41
GO:0051249	GO:0051249	regulation of lymphocyte activation	51/538	485/18670	1.1583943525072462e-15	1.3296106885119758e-13	9.356376464667001e-14	CLEC7A/IL4R/MAP3K8/AIF1/PTPRC/FCGR2B/SYK/LILRB2/SLAMF8/MNDA/NCKAP1L/PYCARD/TNFAIP3/CD86/TNFRSF1B/CCL2/HLA-DMB/TYROBP/FGL2/CEBPB/LILRB1/CD4/IL7R/TGFBR2/VSIG4/SAMSN1/HLA-DPB1/LYN/PTPN6/CCL5/LRRC32/HLA-DPA1/LST1/CD2/RAC2/IL1B/CD74/LILRB4/GPNMB/CORO1A/IL6/IL18/AHR/CD55/VCAM1/IGKC/SOX11/ANXA1/CAV1/SDC4/LGALS3	51
