	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04380	hsa04380	Osteoclast differentiation	24/319	128/8011	1.5049320829683224e-10	3.5023873930899143e-09	2.6210300392366957e-09	3554/2212/2213/6850/10288/4689/3937/5336/4688/7305/10859/2209/7048/1535/1436/2215/3553/11006/1513/54209/29760/3726/54/2274	24
hsa04064	hsa04064	NF-kappa B signaling pathway	20/319	102/8011	2.3681563087065068e-09	5.052066791907214e-08	3.780740773548985e-08	3554/929/6850/7128/5336/597/23643/4067/6387/330/5328/3383/3553/29760/2920/2919/5743/7412/2921/6351	20
hsa05332	hsa05332	Graft-versus-host disease	13/319	41/8011	3.1959269189440846e-09	6.293517624997582e-08	4.709787038443915e-08	942/3108/3109/3115/3119/3122/3123/5551/3113/355/3553/3569/3117	13
hsa05133	hsa05133	Pertussis	17/319	76/8011	4.701753539921344e-09	8.296257133759589e-08	6.208547690560219e-08	929/3689/29108/712/716/23643/717/713/3394/834/710/3553/718/3678/6372/3569/6374	17
hsa05144	hsa05144	Malaria	14/319	50/8011	4.861088164312259e-09	8.296257133759589e-08	6.208547690560219e-08	7097/3689/6347/7057/6383/3383/3553/2995/3569/3606/7412/948/7058/6382	14
hsa04940	hsa04940	Type I diabetes mellitus	13/319	43/8011	6.1723955626763635e-09	9.875832900282182e-08	7.390631528994068e-08	942/3108/3109/3115/3119/3122/3123/5551/3113/355/3553/2571/3117	13
hsa05416	hsa05416	Viral myocarditis	15/319	60/8011	7.57263649394875e-09	1.1403499661475764e-07	8.53386899008466e-08	3689/942/3108/3109/3115/3119/3122/3123/5551/3113/3383/5880/1604/857/3117	15
hsa04062	hsa04062	Chemokine signaling pathway	26/319	189/8011	2.5440071834809148e-08	3.6181435498395233e-07	2.707656768383196e-07	1230/3055/1234/1794/6347/4067/6387/6364/6352/5880/6362/7852/2268/6372/2786/2920/2919/9547/6374/5473/2921/10563/6351/4283/3627/1524	26
hsa05134	hsa05134	Legionellosis	14/319	57/8011	3.096548783206299e-08	4.172192044741118e-07	3.122281875587515e-07	7097/929/3689/29108/7100/834/3553/718/3569/3606/2920/2919/2921/1917	14
hsa04512	hsa04512	ECM-receptor interaction	17/319	88/8011	4.878745182263611e-08	6.244793833297423e-07	4.6733243324840906e-07	1293/1278/1277/7057/2335/3678/3381/1292/3912/948/1282/7058/6382/960/1299/6696/6385	17
hsa04657	hsa04657	IL-17 signaling pathway	17/319	94/8011	1.3476024190603993e-07	1.6427915203783916e-06	1.2293916805463294e-06	6279/7128/6280/6347/1051/6364/3553/6372/3569/2920/2919/5743/4318/6374/4312/2921/3627	17
hsa05330	hsa05330	Allograft rejection	11/319	38/8011	1.5429009416575785e-07	1.7953756412015458e-06	1.343578810438657e-06	942/3108/3109/3115/3119/3122/3123/5551/3113/355/3117	11
hsa05321	hsa05321	Inflammatory bowel disease (IBD)	14/319	65/8011	1.838366174055673e-07	2.0461814806880535e-06	1.5312706804491191e-06	3566/7097/7100/3108/3109/3115/3119/3122/3123/3113/3553/3569/3606/3117	14
hsa04514	hsa04514	Cell adhesion molecules (CAMs)	21/319	147/8011	3.0734593380236046e-07	3.242134287441487e-06	2.426268257871508e-06	5788/3689/942/3108/3109/920/3115/3119/3122/3123/6383/3113/3383/6402/914/54413/7412/6382/3117/22871/6385	21
hsa04672	hsa04672	Intestinal immune network for IgA production	12/319	49/8011	3.166146765079577e-07	3.242134287441487e-06	2.426268257871508e-06	942/3108/3109/3115/3119/3122/6387/3123/3113/7852/3569/3117	12
hsa05146	hsa05146	Amoebiasis	17/319	102/8011	4.593787890909696e-07	4.4147700420249045e-06	3.3038163965811377e-06	3554/7097/929/1281/3689/2769/1278/1277/2335/3553/3569/2920/3912/2919/2921/1282/7850	17
hsa05205	hsa05205	Proteoglycans in cancer	25/319	204/8011	4.6562027786981417e-07	4.4147700420249045e-06	3.3038163965811377e-06	7097/4060/5329/1278/5336/1277/3059/7057/1634/2335/5777/6383/5328/355/3678/6237/4318/858/6382/960/857/8324/6385/7291/2065	25
hsa05418	hsa05418	Fluid shear stress and atherosclerosis	20/319	139/8011	5.261748090748242e-07	4.810741111541249e-06	3.6001434305119554e-06	3554/7056/4688/6347/1535/6383/3383/5880/3162/3553/4258/4318/1843/858/7412/7850/6382/857/445/6385	20
hsa04612	hsa04612	Antigen processing and presentation	14/319	78/8011	1.9299697141852963e-06	1.70369740286702e-05	1.2749709182639706e-05	10437/1520/3108/3109/920/1508/3115/3119/3122/3123/3113/972/3823/3117	14
hsa05310	hsa05310	Asthma	9/319	31/8011	2.0884219387485365e-06	1.782120054398751e-05	1.3336589222885392e-05	2207/3108/3109/3115/3119/3122/3123/3113/3117	9
hsa04620	hsa04620	Toll-like receptor signaling pathway	16/319	104/8011	3.0168146197867245e-06	2.4913049763400046e-05	1.864381191175497e-05	1326/7097/929/942/7100/23643/7096/51284/6352/3553/3569/1513/6351/4283/6696/3627	16
hsa04666	hsa04666	Fc gamma R-mediated phagocytosis	15/319	93/8011	3.3694772006988792e-06	2.6955817605591034e-05	2.0172527977868293e-05	2212/5788/2213/6850/3055/1794/10095/5336/2209/4067/2215/85477/5880/65108/8936	15
hsa04659	hsa04659	Th17 cell differentiation	16/319	107/8011	4.421754647911021e-06	3.430209666258247e-05	2.567015457479445e-05	3554/3566/3108/3109/920/7048/3115/3119/3122/3123/3113/3553/3569/915/196/3117	16
hsa05322	hsa05322	Systemic lupus erythematosus	18/319	133/8011	4.826360830211028e-06	3.6339658015706565e-05	2.719497433741199e-05	2212/712/942/716/3108/3109/2209/717/3115/713/3119/3122/3123/2215/3113/718/730/3117	18
hsa05320	hsa05320	Autoimmune thyroid disease	11/319	53/8011	5.7190651889755545e-06	4.183087681079262e-05	3.13043568238662e-05	942/3108/3109/3115/3119/3122/3123/5551/3113/355/3117	11
hsa04933	hsa04933	AGE-RAGE signaling pathway in diabetic complications	15/319	100/8011	8.486094225996602e-06	6.034555894042027e-05	4.515991664126847e-05	7056/1281/1278/5336/1277/1536/6347/7048/2335/3383/3553/3569/5054/7412/1282	15
hsa05164	hsa05164	Influenza A	20/319	170/8011	1.2560180067562884e-05	8.690286749448915e-05	6.503421827301408e-05	29108/3108/6347/3109/3115/51284/3119/3122/3123/6352/3113/834/8743/3383/355/3553/3569/3606/3117/3627	20
hsa05169	hsa05169	Epstein-Barr virus infection	21/319	201/8011	4.6773627920698464e-05	0.0003151065459920738	0.00023581164214867372	7097/6850/7128/5336/3108/3109/3115/4067/3119/3122/3123/3113/3383/355/3569/915/29760/960/894/3117/3627	21
hsa05132	hsa05132	Salmonella infection	21/319	214/8011	0.00011641474346564459	0.0007641583160821798	0.0005718618977259734	7097/929/5788/3071/29108/10095/7100/23643/330/834/8743/837/3553/6237/3569/3606/10398/302/6990/113146/6281	21
hsa04510	hsa04510	Focal adhesion	20/319	199/8011	0.00012189125794262061	0.0007801040508327719	0.0005837949722514987	1293/1278/1277/7057/2335/330/5880/3678/3381/1292/10398/3912/4638/858/1282/7058/857/1299/894/6696	20
hsa05145	hsa05145	Toxoplasmosis	14/319	112/8011	0.00013319828280516238	0.0008316770828810139	0.0006223899222218114	7097/3587/1234/3108/3109/23643/3115/3119/3122/3123/330/3113/3912/3117	14
hsa05166	hsa05166	Human T-cell leukemia virus 1 infection	21/319	219/8011	0.000161502975394443	0.0009843990881185096	0.0007366802386413191	3554/3689/3108/3109/920/7048/3115/3119/3122/3123/3113/3383/3569/915/7538/7850/4316/9133/894/991/3117	21
hsa05142	hsa05142	Chagas disease (American trypanosomiasis)	13/319	102/8011	0.00018930716163569067	0.001127037985552019	0.0008434248082667248	7097/2769/712/6347/7048/713/6352/355/3553/718/3569/915/5054	13
hsa04650	hsa04650	Natural killer cell mediated cytotoxicity	15/319	131/8011	0.0002091755989056823	0.0012170216663603334	0.000910764569397947	6850/3689/2207/3937/5336/7305/5777/2215/5551/8743/3383/355/5880/962/3823	15
hsa04658	hsa04658	Th1 and Th2 cell differentiation	12/319	92/8011	0.0002674075584328151	0.0015212518879733482	0.0011384368569537394	3566/3108/3109/920/3115/3119/3122/3123/3113/10683/915/3117	12
hsa04621	hsa04621	NOD-like receptor signaling pathway	18/319	181/8011	0.0003025171592372591	0.001683573755755181	0.001259911281033894	29108/7128/1536/6347/1508/1535/6352/330/834/837/3553/3569/3606/2920/2919/2634/2921/2633	18
hsa04974	hsa04974	Protein digestion and absorption	12/319	95/8011	0.00036202264447202066	0.001971868020953985	0.0014756578117336566	1293/1281/9056/1278/1277/1289/1306/1290/1292/80781/1282/1299	12
hsa04662	hsa04662	B cell receptor signaling pathway	11/319	82/8011	0.00037468747851177053	0.0019983332187294427	0.001495463181779435	2213/6850/10288/5336/10859/4067/5777/5880/11006/29760/8519	11
hsa05130	hsa05130	Pathogenic Escherichia coli infection	19/319	202/8011	0.00042158386401875585	0.002120594553753514	0.0015869580953254093	3554/2212/3055/4542/3071/29108/10095/7100/3059/4067/5777/834/8743/837/355/3553/3569/3606/8936	19
hsa05167	hsa05167	Kaposi sarcoma-associated herpesvirus infection	18/319	186/8011	0.0004224621962555829	0.002120594553753514	0.0015869580953254093	6850/1230/3055/1234/5336/942/9976/4067/3383/355/718/2786/3569/2920/2919/5743/7538/2921	18
hsa05202	hsa05202	Transcriptional misregulation in cancer	18/319	186/8011	0.0004224621962555829	0.002120594553753514	0.0015869580953254093	929/942/597/1051/2209/7048/1436/330/5328/3569/2115/4318/26471/7850/1050/2892/894/3486	18
hsa04670	hsa04670	Leukocyte transendothelial migration	13/319	112/8011	0.0004809850546706031	0.0023679264229937384	0.0017720502014180117	3689/4689/5336/4688/1536/1535/6387/3383/5880/7852/10398/4318/7412	13
hsa05020	hsa05020	Prion diseases	6/319	35/8011	0.0023225205178056194	0.011218212312419595	0.008395208227221902	712/713/6352/3553/3569/730	6
hsa05143	hsa05143	African trypanosomiasis	6/319	37/8011	0.0031115999659616575	0.014751288727521931	0.011039204557602761	3383/355/3553/3569/3606/7412	6
hsa04623	hsa04623	Cytosolic DNA-sensing pathway	8/319	63/8011	0.0033209360454766047	0.015457447775309286	0.011567662397640998	29108/6352/834/3553/3569/3606/6351/3627	8
hsa04611	hsa04611	Platelet activation	12/319	124/8011	0.003770543630878302	0.017236770884015096	0.012899228210899456	2212/1281/6850/8673/2207/1278/3937/5336/1277/6916/4067/4638	12
hsa04216	hsa04216	Ferroptosis	6/319	40/8011	0.004648808088747744	0.0208788573810425	0.015624802809826215	1536/6303/2180/3162/1356/55240	6
hsa05131	hsa05131	Shigellosis	18/319	236/8011	0.006084136422471285	0.026854119381942224	0.020096421576946896	3554/929/29108/10095/5336/7100/3059/6352/834/837/3553/718/3678/3606/10398/55062/960/8936	18
hsa05120	hsa05120	Epithelial cell signaling in Helicobacter pylori infection	8/319	70/8011	0.006368377223066191	0.027632280832287203	0.02067876279389914	5336/10312/4067/6352/2920/2919/2921/534	8
hsa04115	hsa04115	p53 signaling pathway	8/319	72/8011	0.007540622069335426	0.032173320829164485	0.024077073975772766	7057/355/5054/55240/9133/894/64065/3486	8
hsa04210	hsa04210	Apoptosis	12/319	136/8011	0.007864633017413301	0.03300567299111156	0.02469996909696671	1439/1520/1075/597/1508/1512/5551/330/8743/355/1513/332	12
hsa05135	hsa05135	Yersinia infection	11/319	120/8011	0.008143945612106263	0.033522224279032446	0.025086532971973295	29108/3937/6347/2335/834/5880/3553/3678/3569/3606/8935	11
hsa04625	hsa04625	C-type lectin receptor signaling pathway	10/319	104/8011	0.008249609881168142	0.033522224279032446	0.025086532971973295	64581/6850/29108/2207/5336/834/3553/6237/3569/5743	10
hsa04979	hsa04979	Cholesterol metabolism	6/319	50/8011	0.013817787854462343	0.05527115141784937	0.041362457064344514	10577/341/5360/948/344/51129	6
hsa05340	hsa05340	Primary immunodeficiency	5/319	38/8011	0.016558974885730847	0.06521688570380149	0.04880539966320671	5788/920/3575/915/29760	5
hsa05163	hsa05163	Human cytomegalovirus infection	16/319	225/8011	0.017521308571618117	0.06796143930809452	0.05085930079799836	3554/3587/1230/1234/5734/6347/6387/6352/355/5880/3553/7852/2786/3569/5743/6351	16
hsa04664	hsa04664	Fc epsilon RI signaling pathway	7/319	68/8011	0.01799357682126369	0.06875157710811201	0.05145060457926146	6850/2207/3937/5336/4067/241/5880	7
hsa04142	hsa04142	Lysosome	10/319	123/8011	0.02455908230419026	0.09245772161577509	0.06919122259075275	1520/10577/1075/7805/1508/10312/2517/1512/1513/54	10
hsa04151	hsa04151	PI3K-Akt signaling pathway	22/319	354/8011	0.025105032087041824	0.09314330745337257	0.06970428436066534	1293/3566/7097/6850/1278/1277/3575/7057/2335/1436/3678/3381/1292/2786/3569/3912/1282/7058/1299/894/6696/2065	22
hsa05100	hsa05100	Bacterial invasion of epithelial cells	7/319	73/8011	0.025589254845213814	0.09358356057678195	0.07003375010269045	10095/3059/2335/3678/858/8936/857	7
hsa03320	hsa03320	PPAR signaling pathway	7/319	76/8011	0.03106970121467804	0.1120259649430645	0.08383522047548411	2180/5360/4312/948/4973/51129/2171	7
hsa04926	hsa04926	Relaxin signaling pathway	10/319	129/8011	0.03274541680839234	0.11642814865206164	0.0871296178235001	1281/2769/1278/1277/7048/59/2786/4318/4312/1282	10
hsa01523	hsa01523	Antifolate resistance	4/319	31/8011	0.03326678087033113	0.11666158770965436	0.08730431317087622	2350/3553/3569/8714	4
hsa05165	hsa05165	Human papillomavirus infection	20/319	330/8011	0.03983008855148536	0.13779057661054395	0.10311630322006168	1293/5734/1278/1277/7057/10312/2335/355/3678/3381/1292/3912/5743/1282/7058/1299/894/534/6696/8324	20
hsa05170	hsa05170	Human immunodeficiency virus 1 infection	13/319	212/8011	0.0804047540417062	0.27444822712902384	0.2053847752363583	7097/1234/5336/7133/920/355/5880/7852/2786/915/60489/9133/684	13
hsa04810	hsa04810	Regulation of actin cytoskeleton	13/319	213/8011	0.0827157346610503	0.2786214220161694	0.20850780759433732	3689/3071/10095/2335/6387/85477/5880/3678/6237/7852/10398/4638/8936	13
hsa05162	hsa05162	Measles	9/319	138/8011	0.09905968620434323	0.3293412943936606	0.24646429103472958	7097/2213/7128/51284/355/3553/3569/915/894	9
hsa04630	hsa04630	JAK-STAT signaling pathway	10/319	162/8011	0.11184958023495525	0.3670960582070326	0.27471826724374976	3566/3587/1439/3575/5777/3597/3569/3976/894/3598	10
hsa00565	hsa00565	Ether lipid metabolism	4/319	47/8011	0.11598686881182657	0.3758561824788304	0.28127395234846686	5050/5320/5168/5322	4
hsa00410	hsa00410	beta-Alanine metabolism	3/319	31/8011	0.12419338832419548	0.39741884263742555	0.2974104825658366	1806/2571/220	3
hsa05221	hsa05221	Acute myeloid leukemia	5/319	67/8011	0.1275033893688882	0.40297367504241205	0.30156747063206824	929/597/2209/1436/1050	5
hsa04066	hsa04066	HIF-1 signaling pathway	7/319	109/8011	0.14352651645941314	0.44808278309280203	0.3353251090579357	5336/1536/3162/7076/3569/5054/230	7
hsa04520	hsa04520	Adherens junction	5/319	71/8011	0.1519273526887276	0.46859520829294293	0.35067569041659385	7048/5777/5880/6591/8936	5
hsa04270	hsa04270	Vascular smooth muscle contraction	8/319	132/8011	0.15565765532067868	0.47438523526302073	0.3550086875734777	59/5320/10398/72/1909/4638/3779/5322	8
hsa01524	hsa01524	Platinum drug resistance	5/319	73/8011	0.16482302110209998	0.496408157672207	0.3714896574685102	330/355/4258/7153/332	5
hsa04350	hsa04350	TGF-beta signaling pathway	6/319	94/8011	0.17124183910328486	0.5044398029912808	0.37750018151485654	7048/7057/1634/57817/2200/2331	6
hsa00250	hsa00250	Alanine, aspartate and glutamate metabolism	3/319	36/8011	0.1714307142978181	0.5044398029912808	0.37750018151485654	2571/9945/445	3
hsa00770	hsa00770	Pantothenate and CoA biosynthesis	2/319	19/8011	0.17373350638228424	0.5054065640211906	0.37822366221980547	1806/8875	2
hsa00532	hsa00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	2/319	20/8011	0.18824150170255718	0.5414587015264566	0.40520346906996346	29940/64131	2
hsa00513	hsa00513	Various types of N-glycan biosynthesis	3/319	39/8011	0.20187386088878873	0.5742189820836657	0.4297197974474801	11320/4124/57134	3
hsa04975	hsa04975	Fat digestion and absorption	3/319	41/8011	0.22282284024841376	0.6200287728651513	0.46400179548296694	5320/948/5322	3
hsa05219	hsa05219	Bladder cancer	3/319	41/8011	0.22282284024841376	0.6200287728651513	0.46400179548296694	7057/4318/4312	3
hsa00860	hsa00860	Porphyrin and chlorophyll metabolism	3/319	42/8011	0.2334552148155707	0.6358961235362071	0.4758762108700234	3162/9843/1356	3
hsa04660	hsa04660	T cell receptor signaling pathway	6/319	104/8011	0.23349310786095104	0.6358961235362071	0.4758762108700234	1326/5788/3937/920/5777/915	6
hsa00590	hsa00590	Arachidonic acid metabolism	4/319	63/8011	0.24162847559675593	0.6511251552923107	0.48727293693750234	6916/5320/5743/5322	4
hsa00592	hsa00592	alpha-Linolenic acid metabolism	2/319	25/8011	0.2624768649712615	0.6999383065900306	0.5238025156224736	5320/5322	2
hsa04068	hsa04068	FoxO signaling pathway	7/319	131/8011	0.2665837041838416	0.7035611161965304	0.5265136642589167	3575/7048/8743/6648/3569/9133/894	7
hsa04390	hsa04390	Hippo signaling pathway	8/319	154/8011	0.270640605511818	0.7069795409288306	0.5290718603990427	3689/7048/23418/5054/6591/332/894/8324	8
hsa04966	hsa04966	Collecting duct acid secretion	2/319	27/8011	0.29240188542194945	0.7550961376368553	0.5650801687907389	10312/534	2
hsa04924	hsa04924	Renin secretion	4/319	69/8011	0.2949594287643966	0.7550961376368553	0.5650801687907389	5734/1508/1909/3759	4
hsa05222	hsa05222	Small cell lung cancer	5/319	92/8011	0.30394988110331067	0.7670604365278464	0.5740337148358061	2335/330/3912/5743/1282	5
hsa04310	hsa04310	Wnt signaling pathway	8/319	160/8011	0.3056256426790638	0.7670604365278464	0.5740337148358061	5176/5880/80319/4316/894/22943/8324/6424	8
hsa04217	hsa04217	Necroptosis	8/319	162/8011	0.31750884583871053	0.7707825372540804	0.5768191685042872	29108/7128/1536/330/834/8743/355/3553	8
hsa00330	hsa00330	Arginine and proline metabolism	3/319	50/8011	0.32076046824002036	0.7707825372540804	0.5768191685042872	6303/8974/1152	3
hsa00510	hsa00510	N-Glycan biosynthesis	3/319	50/8011	0.32076046824002036	0.7707825372540804	0.5768191685042872	11320/4124/57134	3
hsa05110	hsa05110	Vibrio cholerae infection	3/319	50/8011	0.32076046824002036	0.7707825372540804	0.5768191685042872	5336/10312/534	3
hsa00591	hsa00591	Linoleic acid metabolism	2/319	29/8011	0.32216301361791644	0.7707825372540804	0.5768191685042872	5320/5322	2
hsa00030	hsa00030	Pentose phosphate pathway	2/319	30/8011	0.3369322260752138	0.7986541655116178	0.5976770482035957	2203/230	2
hsa00430	hsa00430	Taurine and hypotaurine metabolism	1/319	11/8011	0.36062711163326955	0.8469774364964864	0.6338400223781271	2571	1
hsa04215	hsa04215	Apoptosis - multiple species	2/319	32/8011	0.36616232053027675	0.8521595823250077	0.6377181084833529	330/332	2
hsa04110	hsa04110	Cell cycle	6/319	124/8011	0.37271586427313924	0.8595969482335464	0.6432839004050389	4176/8317/9133/894/991/7272	6
hsa00051	hsa00051	Fructose and mannose metabolism	2/319	33/8011	0.3805933435810446	0.869927642470959	0.6510149298096816	2203/230	2
hsa05014	hsa05014	Amyotrophic lateral sclerosis (ALS)	3/319	57/8011	0.3975884094790718	0.9007312639525875	0.6740669820697819	7133/834/2891	3
hsa04978	hsa04978	Mineral absorption	3/319	58/8011	0.40841333945200275	0.9171387271904623	0.6863455935389151	3162/9843/26872	3
hsa05204	hsa05204	Chemical carcinogenesis	4/319	82/8011	0.41341498769111307	0.9202977117297821	0.6887096362451495	1545/4258/5743/220	4
hsa04370	hsa04370	VEGF signaling pathway	3/319	59/8011	0.4191794012970158	0.9250855752761729	0.6922926591293729	5336/5880/5743	3
hsa03030	hsa03030	DNA replication	2/319	36/8011	0.4229986138624836	0.9255354286221864	0.6926293092485113	4176/10535	2
hsa04730	hsa04730	Long-term depression	3/319	60/8011	0.429880381844032	0.9316393161399568	0.6971971855981585	4067/2892/2891	3
hsa04360	hsa04360	Axon guidance	8/319	181/8011	0.43306671336193303	0.9316393161399568	0.6971971855981585	5336/6387/5880/6237/7852/10398/10512/9353	8
hsa04218	hsa04218	Cellular senescence	7/319	160/8011	0.45483580682882396	0.9703163879014911	0.7261413758144383	7048/6237/3569/5054/9133/894/3486	7
hsa05206	hsa05206	MicroRNAs in cancer	13/319	310/8011	0.46482538964837006	0.9770629589677571	0.7311902077801471	5336/1545/7057/5328/3162/3678/5743/4318/2146/6659/960/894/2065	13
hsa04371	hsa04371	Apelin signaling pathway	6/319	137/8011	0.4656315663830717	0.9770629589677571	0.7311902077801471	59/6237/2786/4638/5054/6696	6
hsa05235	hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	4/319	89/8011	0.4758141075300115	0.9771040683253175	0.7312209721842426	7097/920/5777/915	4
hsa00260	hsa00260	Glycine, serine and threonine metabolism	2/319	40/8011	0.47710159586197143	0.9771040683253175	0.7312209721842426	875/2731	2
hsa05033	hsa05033	Nicotine addiction	2/319	40/8011	0.47710159586197143	0.9771040683253175	0.7312209721842426	2892/2891	2
hsa05168	hsa05168	Herpes simplex virus 1 infection	20/319	491/8011	0.4920383557957714	0.9833326304770191	0.7358821494523746	7097/6850/3108/6347/3109/3115/3119/3122/3123/6352/330/3113/355/3553/972/718/3678/3569/3117/684	20
hsa00120	hsa00120	Primary bile acid biosynthesis	1/319	17/8011	0.4991737878869077	0.9833326304770191	0.7358821494523746	9023	1
hsa00360	hsa00360	Phenylalanine metabolism	1/319	17/8011	0.4991737878869077	0.9833326304770191	0.7358821494523746	220	1
hsa00910	hsa00910	Nitrogen metabolism	1/319	17/8011	0.4991737878869077	0.9833326304770191	0.7358821494523746	771	1
hsa00380	hsa00380	Tryptophan metabolism	2/319	42/8011	0.5029758479088675	0.9833326304770191	0.7358821494523746	1545/6999	2
hsa00010	hsa00010	Glycolysis / Gluconeogenesis	3/319	68/8011	0.5125069368462853	0.9833326304770191	0.7358821494523746	2203/220/230	3
hsa04010	hsa04010	MAPK signaling pathway	12/319	295/8011	0.5125313571044442	0.9833326304770191	0.7358821494523746	3554/1326/929/7048/1436/355/5880/3553/6237/4137/1843/2065	12
hsa00061	hsa00061	Fatty acid biosynthesis	1/319	18/8011	0.5191592221706296	0.9833326304770191	0.7358821494523746	2180	1
hsa00511	hsa00511	Other glycan degradation	1/319	18/8011	0.5191592221706296	0.9833326304770191	0.7358821494523746	2517	1
hsa04920	hsa04920	Adipocytokine signaling pathway	3/319	69/8011	0.5223954599409164	0.9833326304770191	0.7358821494523746	7133/2180/948	3
hsa05031	hsa05031	Amphetamine addiction	3/319	69/8011	0.5223954599409164	0.9833326304770191	0.7358821494523746	23237/2892/2891	3
hsa02010	hsa02010	ABC transporters	2/319	45/8011	0.5402049914184026	0.9999999927575778	0.74835525773799	8714/10351	2
hsa04750	hsa04750	Inflammatory mediator regulation of TRP channels	4/319	100/8011	0.5681182309644888	0.9999999927575778	0.74835525773799	3554/5734/5336/3553	4
hsa00220	hsa00220	Arginine biosynthesis	1/319	21/8011	0.5744697295820932	0.9999999927575778	0.74835525773799	445	1
hsa00520	hsa00520	Amino sugar and nucleotide sugar metabolism	2/319	48/8011	0.5754650813814521	0.9999999927575778	0.74835525773799	80896/9945	2
hsa01230	hsa01230	Biosynthesis of amino acids	3/319	75/8011	0.5793215894600539	0.9999999927575778	0.74835525773799	875/445/230	3
hsa00980	hsa00980	Metabolism of xenobiotics by cytochrome P450	3/319	76/8011	0.5883864581299372	0.9999999927575778	0.74835525773799	1545/4258/220	3
hsa00340	hsa00340	Histidine metabolism	1/319	23/8011	0.6077719890105135	0.9999999927575778	0.74835525773799	220	1
hsa04614	hsa04614	Renin-angiotensin system	1/319	23/8011	0.6077719890105135	0.9999999927575778	0.74835525773799	290	1
hsa04913	hsa04913	Ovarian steroidogenesis	2/319	51/8011	0.6087164973889607	0.9999999927575778	0.74835525773799	1545/5743	2
hsa00983	hsa00983	Drug metabolism - other enzymes	3/319	79/8011	0.614821141571982	0.9999999927575778	0.74835525773799	1806/4258/7378	3
hsa01521	hsa01521	EGFR tyrosine kinase inhibitor resistance	3/319	79/8011	0.614821141571982	0.9999999927575778	0.74835525773799	5336/3569/2065	3
hsa00534	hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	1/319	24/8011	0.6234355763296981	0.9999999927575778	0.74835525773799	64131	1
hsa05161	hsa05161	Hepatitis B	6/319	162/8011	0.6302833334875024	0.9999999927575778	0.74835525773799	7097/7048/355/3569/4318/332	6
