	logFC	AveExpr	t	P.Value	adj.P.Val	B
DOCK2	0.9563113436531196	5.802695202731795	12.737765715274156	1.2659564113856662e-31	2.771754019255671e-29	61.05514613557948
MFSD1	0.6159615321664589	9.825244464518368	12.717386832306435	1.5277715526671744e-31	3.285254470931806e-29	60.86950431017351
PYCARD	1.0634201730159782	7.003453963521775	12.698827887996769	1.8128354549989618e-31	3.8253028135585576e-29	60.700554165997346
PTGER4	0.6087230913899857	5.007578529636527	12.697069601942092	1.8424477926124925e-31	3.8253028135585576e-29	60.68455331946116
PLAUR	1.0105183995979026	6.390734542350361	12.682077393144274	2.1153302144856817e-31	4.317424820819759e-29	60.548159867788684
FCER1G	1.373174250789818	9.1058855527884	12.67642529257673	2.2283529013308608e-31	4.4723042729710373e-29	60.496757538737555
NPC2	0.8898741528879164	10.816007801006217	12.667029059621978	2.4297127667256675e-31	4.796491989657457e-29	60.41132693595004
C5AR1	1.1559886425606276	6.426004852761858	12.662065486314022	2.5432964610998004e-31	4.939738062026419e-29	60.3662093421533
COL1A2	1.7387448851104992	9.658867670356557	12.64848687958755	2.881779268296381e-31	5.508315229972226e-29	60.24282311329577
CD33	0.615890888733027	5.2348830043035575	12.632067619375928	3.351526842130033e-31	6.30610722389529e-29	60.09370240422861
LCP2	0.9547282181846262	6.423409136749693	12.60588687860346	4.2632168987070675e-31	7.898101214497001e-29	59.85610459060554
CD53	1.2775362031603468	9.09848202248302	12.57788927206795	5.5128863571523065e-31	1.0058511744367891e-28	59.60226033566157
EMR2	0.8316341991857934	4.989528108035413	12.569144477360824	5.9734742672841825e-31	1.0736205541288974e-28	59.52302591319035
FLJ22662	1.0949349549710794	6.525640125365022	12.499264464767588	1.1332222122732128e-30	2.0068032176755925e-28	58.89074684789772
TNFAIP3	0.9509641383789296	6.7971849521929535	12.476464878868784	1.3960399782105414e-30	2.4363932489291797e-28	58.68479774142685
S100A9	1.4952334433991403	7.116206708610982	12.459994714411684	1.6228863933211102e-30	2.7863929714760645e-28	58.5361281508533
ARPC1B	0.8705427030313233	8.42807028678252	12.458655832636449	1.6428658111177595e-30	2.7863929714760645e-28	58.52404650787915
GPR65	1.0589905932833448	5.9551635422763916	12.40468185172888	2.6891212264479418e-30	4.420352110016141e-28	58.037493917425294
CTSC	1.139296036769819	9.113383685147655	12.40357620223372	2.7163764834844246e-30	4.420352110016141e-28	58.02753701469308
ARHGDIB	0.9215105922534246	9.492720951997448	12.389781437720105	3.080474203648327e-30	4.946009381377754e-28	57.90334265691824
HMHA1	0.682238386319586	5.997908647526942	12.369020460636717	3.722031216932071e-30	5.897460515038946e-28	57.716550708717094
SLA	1.1350635429497382	7.383801671344373	12.331352822547734	5.24435895498883e-30	8.139867063159332e-28	57.37801261720253
PLCG2	0.8623028401654391	6.147194247222943	12.3305849328049	5.281119433059973e-30	8.139867063159332e-28	57.37111615050806
SERPINA1	1.5002579746176625	7.825098091642618	12.329364854790837	5.340055621903232e-30	8.139867063159332e-28	57.36015895961867
C1QA	1.3854986305423758	9.327042433427518	12.257811430951032	1.022893437033498e-29	1.5253374102669941e-27	56.718435721299365
COL1A1	1.3011519912692693	6.329262414395769	12.257475901742831	1.0260117109419244e-29	1.5253374102669941e-27	56.7154306332249
FYB	0.8490622132480512	5.985850317001548	12.24321573520956	1.1676683982386587e-29	1.7147637623890155e-27	56.58774828528617
CD86	0.8716735185787439	5.9140316052382556	12.210466330883571	1.5710771921049666e-29	2.2793869334130132e-27	56.2947805004395
NCF2	0.9963133288699417	5.79277570915233	12.1697958862109	2.269997602429941e-29	3.254203705769208e-27	55.93146606176104
TLR5	0.8430830855280345	5.494585367823104	12.127083947960497	3.338949517675904e-29	4.730309422570968e-27	55.55053076124987
PSCDBP	0.9855370707921116	5.414630414821106	12.09733153037405	4.3670098826476024e-29	6.114829419400282e-27	55.285553122100985
CXorf9	1.0155237784362132	5.902293349792271	12.084213420257491	4.915190208766892e-29	6.803301206203554e-27	55.16882052672038
TGFBI	1.3208054615384288	10.006457258358447	12.058542313123247	6.193907078064182e-29	8.458314219073014e-27	54.94055905855336
CLEC2B	1.2819846098826586	7.154291147649264	12.057516587955607	6.251369917766967e-29	8.458314219073014e-27	54.93144337511375
C1S	1.4809424484343872	9.277401771945398	12.050961391548807	6.631347158902313e-29	8.872742498611295e-27	54.87319570868345
AQP9	1.0846332049665346	5.742496429726911	12.045215082493195	6.983300205062314e-29	9.143554840515974e-27	54.82214808004632
TNFRSF1B	0.915471949038337	6.383082975450434	12.021263450401959	8.662020277194315e-29	1.1215919158921928e-26	54.60949847101309
HCLS1	1.204275067007302	8.242375726110494	12.003908995202437	1.0124025094150372e-28	1.2969522359974338e-26	54.45554779609093
RNASE2	1.2752143613330595	6.611553949186193	11.968859093407188	1.3867899730400266e-28	1.757865774247158e-26	54.14494908292856
HLA-DMA	1.2393997189807688	8.719494739931818	11.94054656791307	1.7875605448568143e-28	2.2422712584547665e-26	53.89437584161602
TFEC	0.8818330989135381	5.297762788248968	11.897971752270767	2.6170608977546203e-28	3.248932714511458e-26	53.51812174109471
CYBB	0.9219436956746527	6.799985903149862	11.867117874754975	3.4483585002867625e-28	4.2017499436461136e-26	53.24586209896875
BCL2A1	1.2466594185104487	5.784542717917935	11.866923467444934	3.4543534663757284e-28	4.2017499436461136e-26	53.244147716612765
EBI2	1.1843029200234039	5.933395607195401	11.860022129743815	3.674027416229594e-28	4.4242638146236774e-26	53.183297156361284
CYP1B1	1.329071672301854	5.9337533091950565	11.82245588441928	5.137583728810837e-28	6.125424085380207e-26	52.85237331980433
CCL2	1.850944549679653	8.7345718336414	11.816431369898524	5.421140852210038e-28	6.400135111991498e-26	52.79935112853711
HLA-DMB	1.1008391680158374	8.404821775553772	11.790586041717036	6.825258981782591e-28	7.979589190157859e-26	52.572036307920364
TYROBP	1.2898341889776734	9.536355265009842	11.779389019531584	7.540872305374447e-28	8.731460028972989e-26	52.473632888503566
SRGN	1.1681239043187333	10.060056787097755	11.772453836369946	8.021066161431587e-28	9.19901702056754e-26	52.412707319083836
FOLR2	1.0743017434626427	6.515755242142854	11.71773991817434	1.3046026564108477e-27	1.4820778479716442e-25	51.93267301348484
OLFML2B	1.0998527741572888	6.37033425397999	11.701941516456534	1.5010144089957223e-27	1.6892724778622886e-25	51.7942733393091
TBXAS1	0.7949763337776607	5.785656125822082	11.678694306574004	1.844738640358645e-27	2.0568835839998892e-25	51.59078990922006
FGL2	0.9231367249204956	6.468591740896018	11.665560632847647	2.072468336745919e-27	2.2896021753297574e-25	51.47592053001644
TNFAIP8	0.9360178072493754	5.96956731359553	11.638970453293025	2.6227113880465024e-27	2.845287435572611e-25	51.24355790919045
IER3	1.338806449338711	7.533623128998578	11.621562699036446	3.059397791981816e-27	3.260289222216374e-25	51.09158267002764
CFD	1.065461149460953	5.930484212679578	11.607419742745657	3.46689355445018e-27	3.6621344019902693e-25	50.96819506489091
CEBPB	0.8116900040465271	9.419262245171696	11.590210759059996	4.036205372034451e-27	4.226433486090335e-25	50.81816141776228
GIMAP6	0.9025605039038211	6.793675607272636	11.57266267261704	4.712559510310022e-27	4.858566251038372e-25	50.66528805722888
LHFPL2	0.7846308908249329	7.943117918578498	11.572469986996577	4.720580064536535e-27	4.858566251038372e-25	50.663610096582275
LAPTM5	1.1335476901902979	9.71097714967356	11.548070749146035	5.854130630287983e-27	5.974189919485414e-25	50.451249964020306
LY96	1.2896234542043539	7.528539760199026	11.540940858579606	6.233851834320616e-27	6.308238973856207e-25	50.389237837073786
LILRB1	0.8844461948825577	5.5579280851483395	11.526160886789741	7.100828249292896e-27	7.109494911465014e-25	50.26075173172748
AOAH	0.648989646427987	5.348887153820301	11.525476839076664	7.143737620721364e-27	7.109494911465014e-25	50.254807172791224
FCGR1A	1.0613638429376309	6.776726692930333	11.520583221938448	7.458325525618555e-27	7.361734096680217e-25	50.21228560200327
CD4	0.8242632451723511	6.584817342781764	11.463684862954352	1.2301472967674944e-26	1.2043442071279811e-24	49.71856750893016
TREM1	1.4326640646176454	6.440576594726586	11.46203772956025	1.2480731053240804e-26	1.2120400269606915e-24	49.70429380089952
PLEK	0.7771539513521057	6.376626665561849	11.45130754166021	1.3713824636899435e-26	1.321135010220344e-24	49.61133424747409
TDO2	1.5952559794532783	5.729196318199779	11.450236978399866	1.3843312359457838e-26	1.3230251383538991e-24	49.6020620379711
IL7R	0.9116311440279663	5.455341941566698	11.402961237033686	2.0954681401473143e-26	1.9560951429189116e-24	49.193052960196205
TLR1	0.8278256009728118	5.899023207605512	11.387099726711844	2.407696031096163e-26	2.21324241270687e-24	49.0560234468969
TGFBR2	0.6444824528438691	6.0927901620024505	11.278568826313183	6.211293926148695e-26	5.666394049900196e-24	48.1210975136191
SAT1	0.6253511973744281	10.338671327635716	11.223317421388236	1.0044489239185036e-25	8.9229002621984e-24	47.64695911955633
SLCO2B1	0.6756984281055773	6.21471705758899	11.2232021771023	1.0054551568962507e-25	8.9229002621984e-24	47.645971447240356
CTSB	0.755344549205299	10.358469723583644	11.222941494423134	1.0077349573650411e-25	8.9229002621984e-24	47.64373735149028
VSIG4	1.5051244917352662	9.564064310722284	11.201945632108302	1.2092876033622223e-25	1.0629373226049549e-23	47.463890010735675
C2	0.9408974800491476	6.2033637308060845	11.118367372718133	2.4943869646266254e-25	2.1766237556546247e-23	46.74976047525931
RNASE6	1.1232346923854521	8.137236318960703	11.100969686918754	2.899083128723986e-25	2.511565398280161e-23	46.601468923939166
CYBA	0.9293793142556579	8.380181362620531	11.0927823705764	3.111505212677732e-25	2.676338983647518e-23	46.53172662634828
NNMT	1.9645331802800063	8.845366314465098	11.069223320990224	3.8130404044841323e-25	3.2564987624679377e-23	46.33119817248079
COL5A1	1.3083224799219977	6.130149286267316	11.060415626706574	4.113937218118333e-25	3.464337900739928e-23	46.256288750679836
THBS1	0.9643693191005118	5.426443646940477	11.050193786244197	4.492857413930593e-25	3.757152012399458e-23	46.16939261557051
TCIRG1	0.7296515274671735	6.402462516649954	10.950432847438304	1.0592064826675863e-24	8.736277030330873e-23	45.323626644315496
SAMSN1	1.138742470083443	7.685358479432132	10.947616991463502	1.085094009127696e-24	8.888912964568514e-23	45.299815048842305
CD93	1.0364360029341126	7.390609960194133	10.94530253549898	1.1068422147450577e-24	9.005806722945935e-23	45.28024594216639
DCN	1.324579136769417	8.568840181173409	10.939677972397313	1.1615177104436558e-24	9.387245818229867e-23	45.23269882591825
HLA-DPB1	1.2605741015482437	9.657959714014314	10.924977551201948	1.3174307479450573e-24	1.057633404450292e-22	45.108492737289886
SQRDL	0.977590227563236	8.18849593673367	10.922556484909482	1.3450333694589956e-24	1.0726418433791539e-22	45.088045613312346
C1QB	1.329345782261445	10.207365426530261	10.833784901120945	2.871945749345827e-24	2.2752612311593717e-22	44.340059363003164
CREG1	0.815552414354892	9.153507030200041	10.744412736853413	6.142796405558224e-24	4.8033476828397495e-22	43.59045603830683
ASPN	1.3549911483062838	5.8088869519344914	10.727996125502779	7.06081495492404e-24	5.485569915302922e-22	43.45314216121677
RABGAP1L	0.7034524029572458	5.586060535429915	10.658823057074837	1.2681441732342284e-23	9.665184894991506e-22	42.87586119146022
FUCA1	0.7991650566904536	8.410622512121297	10.61254378016353	1.8741467346222357e-23	1.4194009420327648e-21	42.490825147569865
S100A4	1.271087424071836	8.007119685061118	10.59842236461881	2.1109752729883513e-23	1.588772764832858e-21	42.3735278074563
BIN2	0.5879626069834885	5.594090208399134	10.580037842643938	2.4643736762770437e-23	1.8432290565048547e-21	42.22095366815651
TLR7	0.941757437067051	5.545324170196996	10.52015826930401	4.075710834149e-23	3.01102514508112e-21	41.72506583952434
LYN	0.8362611106864213	7.536910057482065	10.508394495227185	4.49828110170484e-23	3.3029451845566877e-21	41.62783586582958
DPYD	1.290720293201396	8.355419295731437	10.486046771410814	5.424523756805697e-23	3.9115038969733055e-21	41.44330077001233
HLA-DQB1	1.2954769682315561	7.589400839129054	10.471578138389011	6.122874371694193e-23	4.388788879996516e-21	41.32394826810588
SCPEP1	0.6602146457978408	7.734006733028968	10.43597730056424	8.244980760201827e-23	5.8749146931568284e-21	41.03068295032441
FILIP1L	0.9679487163439946	7.549655987756457	10.428122947469152	8.803755899140658e-23	6.236166384555988e-21	40.966060279747715
FN1	0.7731505746917744	9.32721841621141	10.424161962407952	9.099659050363496e-23	6.408075689150715e-21	40.93348154471959
HLA-DRA	1.4079568181428233	10.495394000595327	10.413947312164758	9.909121917431664e-23	6.897436192468907e-21	40.849500333196914
COL15A1	1.1006578403245992	5.1441463859226095	10.410506108304938	1.0197619352678595e-22	7.057455876146876e-21	40.82121881178179
MGAT4A	0.6826246799800195	6.00858347118144	10.389753444989621	1.2123069893245358e-22	8.294659525821626e-21	40.65077902787094
CSF1R	1.0230468394062733	8.100346579257954	10.377505701376199	1.3424646698594177e-22	9.133310482738478e-21	40.55028286670828
SYNGR2	0.819686025284259	7.770474662633612	10.337132315504917	1.877971572666037e-22	1.2633817697231518e-20	40.21950104223712
ACSL1	0.9008097985583285	7.443486764253591	10.330467840726842	1.9848272314214896e-22	1.3278494178209767e-20	40.16497153127131
CH25H	1.3419850697340054	6.354064145442948	10.312184543374537	2.309994165294609e-22	1.5284038317844878e-20	40.01548197554639
STOM	0.6647762712998029	7.767466936600628	10.297439388266389	2.6103548378037145e-22	1.7176990686793622e-20	39.895035251652395
EVI2B	1.0311237699594624	7.221511815397961	10.26950793809743	3.2896076188499258e-22	2.1412678349292327e-20	39.66715519603889
CLEC4A	0.6047630872416292	5.286093665128244	10.254331921889019	3.729516594825013e-22	2.4145612276818712e-20	39.543494914762725
LY86	1.1095582425618424	7.988773688957358	10.218082704116231	5.031081795234655e-22	3.239801442685332e-20	39.248562131255696
SERPINB1	1.0032227817681392	6.799708197950406	10.201590427603765	5.763984285115743e-22	3.692015891561903e-20	39.11458299177683
RNASET2	0.7674081549750191	9.425058681092276	10.165073297391103	7.785711386464082e-22	4.960610397661401e-20	38.81838777797809
LPXN	0.7242351955381112	7.056951210355401	10.1568948280441	8.327311734426068e-22	5.2777625213662476e-20	38.75213842628209
PTPN6	0.6622355668660163	6.553201230046517	10.083421663832908	1.5214911500502178e-21	9.54260230672121e-20	38.15841273886512
HAMP	1.4074187536004201	7.035026021879746	10.082299694120257	1.5355290282852756e-21	9.580746403425538e-20	38.14936644681096
CXCL12	0.8826693532809102	5.581653318965168	10.079468254663494	1.5715298325793355e-21	9.754825898928021e-20	38.12653963713763
VNN2	0.8126465298913148	5.080902539798873	10.066951724970302	1.740979845080205e-21	1.0751220151002988e-19	38.025679026398976
NPL	0.9216214439455985	6.756446801436395	10.05970132651463	1.847308451031993e-21	1.1349636922105745e-19	37.96728866315076
ACTA2	1.0628780847509027	9.416321234703412	10.047980275092455	2.0329976928729114e-21	1.2302190059083215e-19	37.87294833207738
HLA-DRB1	1.1674676530914248	10.580503979104186	10.01930147678657	2.5691857851327844e-21	1.5469067612284494e-19	37.642400543802395
SERPINF1	1.1723898176428174	8.053326341606557	10.004181282621335	2.9061841593653705e-21	1.7385627782042602e-19	37.521011456817604
CCL20	1.2164596838189299	5.083093269721641	9.99496180984033	3.1328369468211077e-21	1.8584050499320088e-19	37.44704987914175
CTSH	0.9709907786116183	8.814107262483606	9.962170544850416	4.090670953355843e-21	2.4146990009956403e-19	37.18432568985501
FCGR3B	0.7253957650105249	5.842918242422392	9.924214414422984	5.566929163156282e-21	3.2700956576940463e-19	36.880881646260356
MXRA5	1.4569782116354588	7.058314440395065	9.882468727042292	7.806277976913648e-21	4.519384586442026e-19	36.547965145382896
DENND2D	0.8406671594244264	5.37639290821246	9.878571990744081	8.056208079145381e-21	4.64176352579276e-19	36.51693336835439
BNC2	0.7574026731571069	5.124704032584976	9.87223259689246	8.479882644186485e-21	4.862606990537793e-19	36.46646557803144
S100A11	0.919949756155189	9.034241642170295	9.867762297272074	8.791864572111404e-21	5.017612946794574e-19	36.43088965533048
IL13RA1	0.746559620678787	7.00764571888414	9.862225899823859	9.194080508940483e-21	5.222411202295345e-19	36.38684324125742
PRF1	0.707518931825974	5.249632188669757	9.788560277677366	1.6648496388207703e-20	9.368280070411081e-19	35.80223616031229
ANPEP	0.7903038219367131	4.563910221292101	9.761515553294652	2.0689544646239832e-20	1.1534421140278706e-18	35.588295904062946
RARRES1	1.1602142915043059	5.2951026168204915	9.753586290072915	2.2049105453391074e-20	1.2235729394918678e-18	35.52564074241708
ASCL1	-1.0189376657874618	6.302810063193456	-9.743679190791322	2.3872955595398535e-20	1.3187070242192164e-18	35.44740197665732
ALOX5AP	1.3727044325614237	9.5035122554831	9.733733812580901	2.5854328452654507e-20	1.4216338960130848e-18	35.36891102067959
SH3TC1	0.5970462019731988	5.305555984245679	9.731085335841145	2.640893532149741e-20	1.44552908700669e-18	35.34801717506863
EMR1	0.5938153214473614	4.433142869005822	9.698937372093459	3.4159768474845105e-20	1.8363925534557355e-18	35.09468651059131
AIM1	1.1125981852125957	6.020754384461448	9.679733839186744	3.982621048984013e-20	2.131498785416244e-18	34.94361152341949
UBD	1.3761219367035915	6.065038368200387	9.661073449206624	4.622322301866978e-20	2.4629205822602722e-18	34.796990360152
LCP1	0.7500812565029298	6.641096194795921	9.653447018594221	4.9122133500968434e-20	2.605853443254017e-18	34.73711828021417
FLJ20273	0.9062357884194432	6.960904113478082	9.650287531340753	5.0375286778112456e-20	2.6606105411492553e-18	34.71232315447704
TMEM176B	1.25608610851065	8.336293074918839	9.642652341624835	5.35360962106542e-20	2.815203801610034e-18	34.65242465854763
IRF8	0.7190851920471788	6.595031173893073	9.634501115874494	5.712785491613471e-20	2.9910157778264966e-18	34.58851094502967
CCL5	0.8026524960957069	5.19831260451529	9.63359188008497	5.754303139485663e-20	2.999710753492916e-18	34.58138375412852
RNASE1	1.1749132586462494	8.491968239816108	9.615769512446692	6.631303928040891e-20	3.4272172489900606e-18	34.44176634221315
LYVE1	0.833763580844793	4.919736082144421	9.603221861399993	7.327062841882772e-20	3.7706192624765956e-18	34.343568567719814
CD248	0.6156769687513046	6.541439795167054	9.586261071431409	8.383884713289952e-20	4.296116583720749e-18	34.21096313152492
IL32	0.8427912404094391	5.939117729204042	9.545301542881171	1.160093724982864e-19	5.86968430094271e-18	33.891342973179576
CTSL1	0.6374039984639577	8.765681290139549	9.537457380071487	1.2344184280342495e-19	6.219609502254575e-18	33.830232167186956
COPZ2	0.9193688440273435	7.19521110003903	9.501464359289232	1.6407201746269895e-19	8.23231347619092e-18	33.55023701371891
FSD1	-0.7388605130194863	6.017549562385409	-9.472923199750877	2.0550178496874867e-19	1.0146489121980304e-17	33.328693999937784
TES	0.7642695898262524	6.1194416575362	9.472867279941356	2.0559237217764445e-19	1.0146489121980304e-17	33.32826035812352
COLEC12	1.2110883523612301	6.98398406214253	9.468975642289452	2.1199486210158875e-19	1.0419763793580945e-17	33.29808588904819
TRIM38	0.6608718469805206	5.914316091422998	9.46116666317501	2.254445045354871e-19	1.1035783429334697e-17	33.23756172841789
FAP	0.9193892830525314	4.87809888065279	9.441976034975474	2.6219938980811323e-19	1.2731471984150401e-17	33.088959843406045
FBN1	0.7441430737275416	6.235901840649616	9.43844744979054	2.695771107687334e-19	1.2984990271508352e-17	33.06165756316967
FER1L3	0.8792016690923914	7.3201592861762315	9.414359168502536	3.257446529622634e-19	1.5443374452644e-17	32.875451637071485
P2RY5	0.6935046638647524	7.437327005709759	9.383057217099365	4.1637897813159954e-19	1.9509866360547554e-17	32.63394327389591
LRRC32	0.6764575565337712	6.157203355724841	9.375706461611651	4.410545930970869e-19	2.0585966705717523e-17	32.57730459111867
SDC2	0.9354362969284518	7.463757792813615	9.372161854905054	4.5346617070729785e-19	2.1083550685935447e-17	32.55000316069182
TAGLN	1.3111699155682865	8.540408651073559	9.367041584072576	4.720087087595078e-19	2.1861264888007663e-17	32.51057742007131
OLIG2	-0.6960507927192685	6.507206410220908	-9.353624133552527	5.242408903526707e-19	2.418739004454736e-17	32.40733040529934
BIRC3	0.95352321576084	5.358547157879355	9.352160028186853	5.302762270430619e-19	2.4372466893330353e-17	32.396069969739536
HLA-DPA1	1.0828943326718914	10.609881764398661	9.336443781822453	5.995626316174561e-19	2.7452217528279113e-17	32.275268603796086
RGS10	0.6543593925212106	6.950877500949854	9.290635415395274	8.569567472559192e-19	3.8795011843818715e-17	31.923923878852627
COL8A2	0.6756324023437497	5.231260678297702	9.285945283314641	8.88820610998095e-19	4.008680823085791e-17	31.888014901964887
LST1	0.7724260611554525	6.402195401671056	9.271841747631713	9.918845217808476e-19	4.4568184370466296e-17	31.780105824570178
CASP1	0.8547653465465066	7.09263317748098	9.27134334135838	9.957356865332188e-19	4.457490385588484e-17	31.776294381763847
TNFSF10	1.0208112317420612	6.73861183695539	9.268514175265025	1.0178790424967137e-18	4.539740529535343e-17	31.75466155690851
TNFAIP2	0.6051026339445364	5.423661102647082	9.25480175247802	1.1323144509834557e-18	5.012989198067196e-17	31.649872822072872
BCL7A	-0.6411170748862585	5.711106220420242	-9.242026652635465	1.2503619381346104e-18	5.495915823422297e-17	31.552338711316587
C11orf75	0.7779355557405934	6.619391426654665	9.241690770107656	1.2536248539332213e-18	5.495915823422297e-17	31.54977554245732
CASP4	0.806909588919078	6.6798287862908925	9.241540446117797	1.2550879018777045e-18	5.495915823422297e-17	31.548628417875086
