#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
COL1A2	COL1A1	4437383	4433346	9606.ENSP00000297268	9606.ENSP00000225964	0	0	0.443	0.958	0.991	0.454	0.900	0.948	0.999
BUB1	MAD2L1	4437860	4437296	9606.ENSP00000302530	9606.ENSP00000296509	0	0	0	0	0.921	0.998	0.900	0.858	0.999
S100A10	ANXA2	4443194	4441580	9606.ENSP00000357801	9606.ENSP00000346032	0	0	0	0	0.759	0.538	0.900	0.921	0.999
PLAU	PLAUR	4444017	4440945	9606.ENSP00000361850	9606.ENSP00000339328	0	0	0	0	0.221	0.723	0.900	0.967	0.999
CCL5	CCR5	4451102	4436956	9606.ENSP00000474412	9606.ENSP00000292303	0	0	0	0	0.181	0.902	0.900	0.959	0.999
C1QA	C1QB	4444428	4438900	9606.ENSP00000363773	9606.ENSP00000313967	0	0	0.389	0.860	0.989	0.885	0.900	0.844	0.999
MAD2L1	BUB1B	4437296	4436731	9606.ENSP00000296509	9606.ENSP00000287598	0	0	0	0	0.849	0.999	0.900	0.909	0.999
MCM7	MCM4	4438312	4435007	9606.ENSP00000307288	9606.ENSP00000262105	0	0	0	0.793	0.998	0.998	0.900	0.937	0.999
S100A9	S100A8	4443166	4443164	9606.ENSP00000357727	9606.ENSP00000357722	0	0	0	0.801	0.995	0.877	0.900	0.882	0.999
CDC20	KIF2C	4443940	4443901	9606.ENSP00000361540	9606.ENSP00000361298	0	0	0	0	0.958	0.078	0.900	0.579	0.998
CENPF	BUB1	4442771	4437860	9606.ENSP00000355922	9606.ENSP00000302530	0	0	0	0	0.938	0	0.900	0.732	0.998
IL1R1	IL1B	4447368	4435241	9606.ENSP00000386380	9606.ENSP00000263341	0	0	0	0	0.076	0.875	0.900	0.893	0.998
TTK	BUB1	4443396	4437860	9606.ENSP00000358813	9606.ENSP00000302530	0	0	0	0	0.974	0.731	0	0.834	0.998
CDC20	BIRC5	4443940	4437778	9606.ENSP00000361540	9606.ENSP00000301633	0	0	0	0	0.965	0.064	0.900	0.610	0.998
TTK	MAD2L1	4443396	4437296	9606.ENSP00000358813	9606.ENSP00000296509	0	0	0	0	0.963	0.799	0	0.834	0.998
KIF2C	BUB1	4443901	4437860	9606.ENSP00000361298	9606.ENSP00000302530	0	0	0	0	0.945	0.185	0.900	0.699	0.998
RAC2	ARHGDIB	4434085	4433442	9606.ENSP00000249071	9606.ENSP00000228945	0	0	0	0	0.639	0.941	0.900	0.573	0.998
CXCR4	CXCL12	4447439	4446453	9606.ENSP00000386884	9606.ENSP00000379140	0	0	0	0	0	0.457	0.900	0.971	0.998
CYBB	NCF2	4445083	4442905	9606.ENSP00000367851	9606.ENSP00000356505	0	0	0	0	0.384	0.379	0.900	0.962	0.998
CASP1	IL18	4449658	4436375	9606.ENSP00000433138	9606.ENSP00000280357	0	0	0	0	0.097	0.379	0.900	0.972	0.998
BIRC5	MAD2L1	4437778	4437296	9606.ENSP00000301633	9606.ENSP00000296509	0	0	0	0	0.958	0	0.900	0.578	0.998
MAD2L1	CCNB2	4437296	4436767	9606.ENSP00000296509	9606.ENSP00000288207	0	0	0	0	0.926	0.130	0.900	0.788	0.998
FYB	LCP2	4449385	4432628	9606.ENSP00000427114	9606.ENSP00000046794	0	0	0	0	0.697	0.472	0.900	0.872	0.997
BUB1	KIF11	4437860	4434801	9606.ENSP00000302530	9606.ENSP00000260731	0	0	0	0	0.990	0.185	0	0.672	0.997
UBE2C	MAD2L1	4441865	4437296	9606.ENSP00000348838	9606.ENSP00000296509	0	0	0	0	0.919	0.509	0.900	0.449	0.997
TOP2A	TPX2	4448614	4437665	9606.ENSP00000411532	9606.ENSP00000300403	0	0	0	0	0.993	0	0	0.595	0.997
CCL4	CCR5	4451651	4436956	9606.ENSP00000482259	9606.ENSP00000292303	0	0	0	0	0.374	0.722	0.900	0.856	0.997
UBE2C	BUB1B	4441865	4436731	9606.ENSP00000348838	9606.ENSP00000287598	0	0	0	0	0.903	0.328	0.900	0.625	0.997
NCF2	CYBA	4442905	4434915	9606.ENSP00000356505	9606.ENSP00000261623	0	0	0	0	0.159	0.379	0.900	0.962	0.997
SYK	BLNK	4444619	4433296	9606.ENSP00000364907	9606.ENSP00000224337	0	0	0	0	0.179	0.446	0.900	0.949	0.997
TREM2	TYROBP	4444111	4435115	9606.ENSP00000362205	9606.ENSP00000262629	0	0	0	0	0.535	0.379	0.900	0.925	0.997
KIF2C	BUB1B	4443901	4436731	9606.ENSP00000361298	9606.ENSP00000287598	0	0	0	0	0.923	0.185	0.900	0.672	0.997
CCNB2	BUB1B	4436767	4436731	9606.ENSP00000288207	9606.ENSP00000287598	0	0	0	0	0.930	0.085	0.900	0.699	0.997
KCNIP1	KCND2	4448751	4440459	9606.ENSP00000414886	9606.ENSP00000333496	0	0	0	0	0.202	0.856	0.900	0.843	0.997
CD55	C3	4442798	4433951	9606.ENSP00000356030	9606.ENSP00000245907	0	0	0	0	0	0.800	0.900	0.876	0.997
CFI	C3	4446295	4433951	9606.ENSP00000378130	9606.ENSP00000245907	0	0	0	0	0.143	0.871	0.900	0.798	0.997
MMP9	TIMP1	4443919	4433052	9606.ENSP00000361405	9606.ENSP00000218388	0	0	0	0	0.063	0.457	0.900	0.957	0.997
MYLK	MYL9	4442357	4436327	9606.ENSP00000353452	9606.ENSP00000279022	0	0	0	0	0.289	0.553	0.900	0.943	0.997
CYBB	CYBA	4445083	4434915	9606.ENSP00000367851	9606.ENSP00000261623	0	0	0	0	0.142	0.472	0.900	0.943	0.997
CDC20	TTK	4443940	4443396	9606.ENSP00000361540	9606.ENSP00000358813	0	0	0	0	0.982	0.586	0	0.737	0.997
CASP1	PYCARD	4449658	4434024	9606.ENSP00000433138	9606.ENSP00000247470	0	0	0	0	0.201	0.582	0.900	0.927	0.997
IL1R2	IL1B	4440220	4435241	9606.ENSP00000330959	9606.ENSP00000263341	0	0	0	0	0.197	0.872	0.900	0.791	0.997
COL5A2	COL1A2	4444466	4437383	9606.ENSP00000364000	9606.ENSP00000297268	0	0	0.446	0.936	0.965	0.109	0.900	0.745	0.996
PRF1	GZMA	4448031	4436124	9606.ENSP00000398568	9606.ENSP00000274306	0	0	0	0	0.729	0	0.900	0.870	0.996
NCF4	CYBB	4446646	4445083	9606.ENSP00000380334	9606.ENSP00000367851	0	0	0	0	0.402	0.313	0.900	0.932	0.996
KIF15	KIF11	4439659	4434801	9606.ENSP00000324020	9606.ENSP00000260731	0	0	0	0.634	0.955	0	0.900	0.871	0.996
IL4R	IL13RA1	4446450	4443793	9606.ENSP00000379111	9606.ENSP00000360730	0	0	0	0	0.086	0.877	0.900	0.684	0.996
KIF15	TPX2	4439659	4437665	9606.ENSP00000324020	9606.ENSP00000300403	0	0	0	0	0.822	0	0.900	0.796	0.996
CENPF	BUB1B	4442771	4436731	9606.ENSP00000355922	9606.ENSP00000287598	0	0	0	0	0.896	0	0.900	0.683	0.996
KIF2C	CCNB2	4443901	4436767	9606.ENSP00000361298	9606.ENSP00000288207	0	0	0	0	0.914	0.150	0.900	0.526	0.996
CASP1	IL1B	4449658	4435241	9606.ENSP00000433138	9606.ENSP00000263341	0	0	0	0	0.287	0.457	0.900	0.917	0.996
BIRC5	BUB1B	4437778	4436731	9606.ENSP00000301633	9606.ENSP00000287598	0	0	0	0	0.916	0.185	0.900	0.554	0.996
BUB1	BIRC5	4437860	4437778	9606.ENSP00000302530	9606.ENSP00000301633	0	0	0	0	0.901	0.185	0.900	0.592	0.996
COL1A2	LUM	4437383	4435725	9606.ENSP00000297268	9606.ENSP00000266718	0	0	0	0	0.875	0.405	0.900	0.515	0.995
CCL5	CXCL10	4451102	4438146	9606.ENSP00000474412	9606.ENSP00000305651	0	0	0	0	0.309	0.226	0.900	0.921	0.995
BIRC5	CCNB2	4437778	4436767	9606.ENSP00000301633	9606.ENSP00000288207	0	0	0	0	0.880	0.185	0.900	0.577	0.995
KIF2C	CENPF	4443901	4442771	9606.ENSP00000361298	9606.ENSP00000355922	0	0	0	0	0.884	0	0.900	0.630	0.995
CDC20	KIF11	4443940	4434801	9606.ENSP00000361540	9606.ENSP00000260731	0	0	0	0	0.981	0.260	0	0.656	0.995
CCNB2	NCAPG	4436767	4434176	9606.ENSP00000288207	9606.ENSP00000251496	0	0	0	0	0.937	0	0.900	0.398	0.995
ASPM	KIF11	4442873	4434801	9606.ENSP00000356379	9606.ENSP00000260731	0	0	0	0	0.988	0.086	0	0.644	0.995
COL3A1	COL1A2	4438049	4437383	9606.ENSP00000304408	9606.ENSP00000297268	0	0	0.440	0.930	0.946	0.109	0.900	0.859	0.995
TLR1	TLR2	4442576	4434743	9606.ENSP00000354932	9606.ENSP00000260010	0	0	0	0.771	0.507	0.882	0.900	0.962	0.995
TTK	BUB1B	4443396	4436731	9606.ENSP00000358813	9606.ENSP00000287598	0	0	0	0	0.910	0.731	0	0.831	0.995
CENPF	CCNB2	4442771	4436767	9606.ENSP00000355922	9606.ENSP00000288207	0	0	0	0	0.901	0	0.900	0.544	0.995
MMP1	TIMP1	4439553	4433052	9606.ENSP00000322788	9606.ENSP00000218388	0	0	0	0	0.156	0.887	0	0.951	0.994
NCF4	CYBA	4446646	4434915	9606.ENSP00000380334	9606.ENSP00000261623	0	0	0	0	0.175	0.379	0.900	0.902	0.994
MAD2L1	KIF11	4437296	4434801	9606.ENSP00000296509	9606.ENSP00000260731	0	0	0	0	0.971	0.261	0	0.749	0.994
COL3A1	COL1A1	4438049	4433346	9606.ENSP00000304408	9606.ENSP00000225964	0	0	0.439	0.951	0.944	0	0.900	0.901	0.994
LY86	LY96	4445292	4436604	9606.ENSP00000369286	9606.ENSP00000284818	0	0	0	0	0.231	0.379	0.900	0.891	0.994
BUB1	DLGAP5	4437860	4434015	9606.ENSP00000302530	9606.ENSP00000247191	0	0	0	0	0.972	0	0	0.793	0.994
COL5A2	COL1A1	4444466	4433346	9606.ENSP00000364000	9606.ENSP00000225964	0	0	0.444	0.949	0.945	0	0.900	0.760	0.994
KIF2C	KIF11	4443901	4434801	9606.ENSP00000361298	9606.ENSP00000260731	0	0	0	0.638	0.921	0	0.900	0.820	0.994
KIF11	DLGAP5	4434801	4434015	9606.ENSP00000260731	9606.ENSP00000247191	0	0	0	0	0.971	0.056	0	0.808	0.994
SYK	LCP2	4444619	4432628	9606.ENSP00000364907	9606.ENSP00000046794	0	0	0	0	0.276	0.388	0.900	0.890	0.994
C1S	SERPING1	4447198	4436285	9606.ENSP00000385035	9606.ENSP00000278407	0	0	0	0	0.451	0.435	0.900	0.844	0.994
CCL5	CCR1	4451102	4437243	9606.ENSP00000474412	9606.ENSP00000296140	0	0	0	0	0.096	0.402	0.900	0.888	0.993
CLEC5A	TYROBP	4450298	4435115	9606.ENSP00000449999	9606.ENSP00000262629	0	0	0	0	0.463	0.447	0.900	0.807	0.993
CCL5	CXCL8	4451102	4438229	9606.ENSP00000474412	9606.ENSP00000306512	0	0	0	0	0.064	0.397	0.900	0.904	0.993
TPX2	KIF11	4437665	4434801	9606.ENSP00000300403	9606.ENSP00000260731	0	0	0	0	0.949	0	0	0.872	0.993
DOCK2	RAC2	4434518	4434085	9606.ENSP00000256935	9606.ENSP00000249071	0	0	0	0	0.566	0.606	0.900	0.638	0.993
ASPM	NCAPG	4442873	4434176	9606.ENSP00000356379	9606.ENSP00000251496	0	0	0	0	0.991	0	0	0.293	0.993
COL5A2	COL3A1	4444466	4438049	9606.ENSP00000364000	9606.ENSP00000304408	0	0	0.444	0.931	0.933	0	0.900	0.807	0.993
UBE2C	CCNB2	4441865	4436767	9606.ENSP00000348838	9606.ENSP00000288207	0	0	0	0	0.976	0.164	0	0.696	0.993
CFD	C3	4440329	4433951	9606.ENSP00000332139	9606.ENSP00000245907	0	0	0	0	0.063	0.801	0.900	0.668	0.993
TTK	KIF11	4443396	4434801	9606.ENSP00000358813	9606.ENSP00000260731	0	0	0	0	0.980	0.157	0	0.641	0.993
ASPM	BUB1	4442873	4437860	9606.ENSP00000356379	9606.ENSP00000302530	0	0	0	0	0.984	0.353	0	0.446	0.993
PRC1	KIF11	4446249	4434801	9606.ENSP00000377793	9606.ENSP00000260731	0	0	0	0	0.965	0.267	0	0.729	0.992
IL18	IL1B	4436375	4435241	9606.ENSP00000280357	9606.ENSP00000263341	0	0	0	0	0.095	0	0.900	0.921	0.992
CDC20	CENPF	4443940	4442771	9606.ENSP00000361540	9606.ENSP00000355922	0	0	0	0	0.839	0	0.900	0.596	0.992
CXCL8	IL1B	4438229	4435241	9606.ENSP00000306512	9606.ENSP00000263341	0	0	0	0	0.676	0	0	0.977	0.992
TTK	NCAPG	4443396	4434176	9606.ENSP00000358813	9606.ENSP00000251496	0	0	0	0	0.988	0	0	0.399	0.992
KIF2C	BIRC5	4443901	4437778	9606.ENSP00000361298	9606.ENSP00000301633	0	0	0	0	0.872	0	0.900	0.447	0.992
SERPINA1	A2M	4448813	4439653	9606.ENSP00000416066	9606.ENSP00000323929	0	0	0	0	0.119	0	0.900	0.920	0.992
TPX2	DLGAP5	4437665	4434015	9606.ENSP00000300403	9606.ENSP00000247191	0	0	0	0	0.965	0	0	0.790	0.992
NUSAP1	KIF11	4450429	4434801	9606.ENSP00000453403	9606.ENSP00000260731	0	0	0	0	0.986	0	0	0.510	0.992
CD44	SPP1	4448037	4446370	9606.ENSP00000398632	9606.ENSP00000378517	0	0	0	0	0.062	0.379	0.900	0.892	0.992
PLCG2	SYK	4451677	4444619	9606.ENSP00000482457	9606.ENSP00000364907	0	0	0	0.548	0.238	0.827	0.900	0.873	0.991
CCL4	CXCL10	4451651	4438146	9606.ENSP00000482259	9606.ENSP00000305651	0	0	0	0	0.322	0	0.900	0.879	0.991
CCL4	CXCL8	4451651	4438229	9606.ENSP00000482259	9606.ENSP00000306512	0	0	0	0	0.211	0.379	0.900	0.838	0.991
CCL5	CXCL9	4451102	4442567	9606.ENSP00000474412	9606.ENSP00000354901	0	0	0	0	0.266	0.221	0.900	0.861	0.991
CTSL	CD74	4441511	4432583	9606.ENSP00000345344	9606.ENSP00000009530	0	0	0	0	0.061	0.886	0.900	0.280	0.991
CD14	TLR2	4438033	4434743	9606.ENSP00000304236	9606.ENSP00000260010	0	0	0	0	0.612	0.393	0.900	0.691	0.991
CCNB2	KIF11	4436767	4434801	9606.ENSP00000288207	9606.ENSP00000260731	0	0	0	0	0.964	0.266	0	0.709	0.991
TOP2A	UBE2C	4448614	4441865	9606.ENSP00000411532	9606.ENSP00000348838	0	0	0	0	0.982	0.050	0	0.545	0.991
BUB1B	KIF11	4436731	4434801	9606.ENSP00000287598	9606.ENSP00000260731	0	0	0	0	0.963	0.185	0	0.727	0.991
S100A4	ANXA2	4443158	4441580	9606.ENSP00000357705	9606.ENSP00000346032	0	0	0	0	0.200	0.964	0	0.733	0.991
COL5A1	COL6A2	4443819	4437672	9606.ENSP00000360882	9606.ENSP00000300527	0	0	0	0.624	0.840	0.361	0.900	0.675	0.991
NUSAP1	CDC20	4450429	4443940	9606.ENSP00000453403	9606.ENSP00000361540	0	0	0	0	0.981	0	0	0.552	0.991
KIF2C	MAD2L1	4443901	4437296	9606.ENSP00000361298	9606.ENSP00000296509	0	0	0	0	0.794	0.261	0.900	0.493	0.991
PBK	TOP2A	4449452	4448614	9606.ENSP00000428489	9606.ENSP00000411532	0	0	0	0	0.982	0	0	0.531	0.991
KIF11	NCAPG	4434801	4434176	9606.ENSP00000260731	9606.ENSP00000251496	0	0	0	0	0.985	0.123	0	0.404	0.991
KIF2C	KIF15	4443901	4439659	9606.ENSP00000361298	9606.ENSP00000324020	0	0	0	0.606	0.891	0	0.900	0.642	0.991
CDC20	DLGAP5	4443940	4434015	9606.ENSP00000361540	9606.ENSP00000247191	0	0	0	0	0.983	0	0	0.479	0.990
PTPRC	CXCR4	4448605	4447439	9606.ENSP00000411355	9606.ENSP00000386884	0	0	0	0	0.224	0.379	0.900	0.829	0.990
FN1	ITGA5	4441661	4437011	9606.ENSP00000346839	9606.ENSP00000293379	0	0	0	0	0.153	0.379	0.900	0.841	0.990
PLCG2	LCP2	4451677	4432628	9606.ENSP00000482457	9606.ENSP00000046794	0	0	0	0	0.214	0.522	0.900	0.764	0.990
CENPF	BIRC5	4442771	4437778	9606.ENSP00000355922	9606.ENSP00000301633	0	0	0	0	0.809	0	0.900	0.548	0.990
TOP2A	BUB1	4448614	4437860	9606.ENSP00000411532	9606.ENSP00000302530	0	0	0	0	0.974	0.050	0	0.620	0.990
PLAUR	SERPINE1	4440945	4433266	9606.ENSP00000339328	9606.ENSP00000223095	0	0	0	0	0.161	0	0.900	0.895	0.990
NUSAP1	DLGAP5	4450429	4434015	9606.ENSP00000453403	9606.ENSP00000247191	0	0	0	0	0.955	0	0	0.792	0.990
COL6A2	COL6A3	4437672	4437161	9606.ENSP00000300527	9606.ENSP00000295550	0	0	0	0.657	0.851	0	0.900	0.936	0.989
NUSAP1	NCAPG	4450429	4434176	9606.ENSP00000453403	9606.ENSP00000251496	0	0	0	0	0.981	0	0	0.472	0.989
ITGB2	ICAM1	4446737	4435501	9606.ENSP00000380948	9606.ENSP00000264832	0	0	0	0	0.113	0.379	0.900	0.829	0.989
NCF2	RAC2	4442905	4434085	9606.ENSP00000356505	9606.ENSP00000249071	0	0	0	0	0.311	0.379	0.900	0.784	0.989
FBLN5	LOXL1	4441481	4434982	9606.ENSP00000345008	9606.ENSP00000261921	0	0	0	0	0.106	0.393	0.900	0.834	0.989
COL6A2	COL1A1	4437672	4433346	9606.ENSP00000300527	9606.ENSP00000225964	0	0	0	0.602	0.868	0	0.900	0.614	0.989
LY96	TLR2	4436604	4434743	9606.ENSP00000284818	9606.ENSP00000260010	0	0	0	0	0.129	0.579	0.900	0.752	0.989
FN1	FBN1	4441661	4439770	9606.ENSP00000346839	9606.ENSP00000325527	0	0	0	0	0.343	0.294	0.900	0.806	0.989
MAD2L1	NCAPG	4437296	4434176	9606.ENSP00000296509	9606.ENSP00000251496	0	0	0	0	0.982	0	0	0.414	0.989
CCL4	CCR1	4451651	4437243	9606.ENSP00000482259	9606.ENSP00000296140	0	0	0	0	0.359	0.481	0.900	0.730	0.989
TYROBP	TREM1	4435115	4433908	9606.ENSP00000262629	9606.ENSP00000244709	0	0	0	0	0.347	0.469	0.900	0.740	0.989
CENPF	MAD2L1	4442771	4437296	9606.ENSP00000355922	9606.ENSP00000296509	0	0	0	0	0.802	0	0.900	0.529	0.989
CXCL1	CXCL6	4446449	4433365	9606.ENSP00000379110	9606.ENSP00000226317	0	0	0	0.893	0.647	0.667	0.900	0.778	0.988
COL1A2	COL6A3	4437383	4437161	9606.ENSP00000297268	9606.ENSP00000295550	0	0	0	0.563	0.839	0	0.900	0.677	0.988
CXCL9	CXCL10	4442567	4438146	9606.ENSP00000354901	9606.ENSP00000305651	0	0	0	0.862	0.848	0.221	0.900	0.951	0.988
TTK	ASPM	4443396	4442873	9606.ENSP00000358813	9606.ENSP00000356379	0	0	0	0	0.986	0	0	0.229	0.988
CXCL1	CCL20	4446449	4442174	9606.ENSP00000379110	9606.ENSP00000351671	0	0	0	0	0.553	0	0.900	0.759	0.988
BUB1	CENPU	4437860	4436429	9606.ENSP00000302530	9606.ENSP00000281453	0	0	0	0	0.787	0	0.900	0.500	0.988
SYK	TYROBP	4444619	4435115	9606.ENSP00000364907	9606.ENSP00000262629	0	0	0	0	0.349	0.379	0.900	0.751	0.988
SYK	FCER1G	4444619	4436828	9606.ENSP00000364907	9606.ENSP00000289902	0	0	0	0	0.184	0.435	0.900	0.782	0.988
CD163	HP	4442211	4441808	9606.ENSP00000352071	9606.ENSP00000348170	0	0	0	0	0.061	0.379	0.900	0.824	0.988
CCNB2	NCAPH	4436767	4433774	9606.ENSP00000288207	9606.ENSP00000240423	0	0	0	0	0.820	0	0.900	0.405	0.988
BUB1B	CENPU	4436731	4436429	9606.ENSP00000287598	9606.ENSP00000281453	0	0	0	0	0.783	0	0.900	0.499	0.988
SYK	CLEC7A	4444619	4437867	9606.ENSP00000364907	9606.ENSP00000302569	0	0	0	0	0.118	0.063	0.900	0.876	0.988
PTX3	TNFAIP6	4437211	4433852	9606.ENSP00000295927	9606.ENSP00000243347	0	0	0	0	0.147	0.379	0.900	0.808	0.988
FPR1	ANXA1	4450996	4444796	9606.ENSP00000471493	9606.ENSP00000366109	0	0	0	0	0.060	0.379	0.900	0.819	0.988
TTK	DLGAP5	4443396	4434015	9606.ENSP00000358813	9606.ENSP00000247191	0	0	0	0	0.979	0	0	0.461	0.988
CCL20	CXCL8	4442174	4438229	9606.ENSP00000351671	9606.ENSP00000306512	0	0	0	0	0.552	0	0.900	0.758	0.988
IFITM2	IFITM3	4451879	4446948	9606.ENSP00000484689	9606.ENSP00000382707	0	0	0	0.981	0.892	0	0.900	0.807	0.988
TOP2A	NCAPG	4448614	4434176	9606.ENSP00000411532	9606.ENSP00000251496	0	0	0	0	0.967	0.085	0	0.644	0.988
CXCL8	CXCL10	4438229	4438146	9606.ENSP00000306512	9606.ENSP00000305651	0	0	0	0	0.144	0	0.900	0.869	0.987
LYN	LCP2	4449476	4432628	9606.ENSP00000428924	9606.ENSP00000046794	0	0	0	0	0.154	0.417	0.900	0.775	0.987
CXCL1	CXCL10	4446449	4438146	9606.ENSP00000379110	9606.ENSP00000305651	0	0	0	0	0.151	0	0.900	0.863	0.987
CYBB	RAC2	4445083	4434085	9606.ENSP00000367851	9606.ENSP00000249071	0	0	0	0	0.263	0.384	0.900	0.753	0.987
BUB1	TPX2	4437860	4437665	9606.ENSP00000302530	9606.ENSP00000300403	0	0	0	0	0.974	0	0	0.518	0.987
TOP2A	DLGAP5	4448614	4434015	9606.ENSP00000411532	9606.ENSP00000247191	0	0	0	0	0.979	0	0	0.425	0.987
CD44	MMP9	4448037	4443919	9606.ENSP00000398632	9606.ENSP00000361405	0	0	0	0	0	0.379	0.900	0.817	0.987
TOP2A	CDC20	4448614	4443940	9606.ENSP00000411532	9606.ENSP00000361540	0	0	0	0	0.968	0	0	0.579	0.986
COL5A1	COL1A1	4443819	4433346	9606.ENSP00000360882	9606.ENSP00000225964	0	0	0.420	0.850	0.772	0.361	0.900	0.774	0.986
SDC4	FN1	4444011	4441661	9606.ENSP00000361818	9606.ENSP00000346839	0	0	0	0	0.098	0.266	0.900	0.814	0.986
PTPN6	SYK	4447701	4444619	9606.ENSP00000391592	9606.ENSP00000364907	0	0	0	0	0.230	0.456	0.900	0.707	0.986
PBK	MAD2L1	4449452	4437296	9606.ENSP00000428489	9606.ENSP00000296509	0	0	0	0	0.980	0.111	0	0.296	0.986
KIF15	NCAPG	4439659	4434176	9606.ENSP00000324020	9606.ENSP00000251496	0	0	0	0	0.977	0.064	0	0.410	0.986
TOP2A	CCNB2	4448614	4436767	9606.ENSP00000411532	9606.ENSP00000288207	0	0	0	0	0.965	0.057	0	0.623	0.986
MAD2L1	CENPU	4437296	4436429	9606.ENSP00000296509	9606.ENSP00000281453	0	0	0	0	0.825	0	0.900	0.297	0.986
NCAPG	DLGAP5	4434176	4434015	9606.ENSP00000251496	9606.ENSP00000247191	0	0	0	0	0.975	0	0	0.445	0.986
CCNB2	DLGAP5	4436767	4434015	9606.ENSP00000288207	9606.ENSP00000247191	0	0	0	0	0.976	0	0	0.437	0.986
CCL5	CXCL1	4451102	4446449	9606.ENSP00000474412	9606.ENSP00000379110	0	0	0	0	0.063	0.069	0.900	0.867	0.986
NCF4	RAC2	4446646	4434085	9606.ENSP00000380334	9606.ENSP00000249071	0	0	0	0	0.306	0.241	0.900	0.757	0.985
PRC1	CDC20	4446249	4443940	9606.ENSP00000377793	9606.ENSP00000361540	0	0	0	0	0.967	0	0	0.560	0.985
CCL4	CXCL9	4451651	4442567	9606.ENSP00000482259	9606.ENSP00000354901	0	0	0	0	0.228	0	0.900	0.825	0.985
IL6	CXCL8	4447254	4438229	9606.ENSP00000385675	9606.ENSP00000306512	0	0	0	0	0.581	0	0	0.966	0.985
COL5A1	COL1A2	4443819	4437383	9606.ENSP00000360882	9606.ENSP00000297268	0	0	0.426	0.840	0.726	0.406	0.900	0.715	0.985
BUB1	NCAPG	4437860	4434176	9606.ENSP00000302530	9606.ENSP00000251496	0	0	0	0	0.974	0	0	0.478	0.985
CXCL1	CXCL8	4446449	4438229	9606.ENSP00000379110	9606.ENSP00000306512	0	0	0	0.878	0.842	0	0.900	0.918	0.985
ASPM	DLGAP5	4442873	4434015	9606.ENSP00000356379	9606.ENSP00000247191	0	0	0	0	0.982	0	0	0.186	0.985
PRC1	TPX2	4446249	4437665	9606.ENSP00000377793	9606.ENSP00000300403	0	0	0	0	0.966	0	0	0.577	0.985
CD55	C2	4442798	4437564	9606.ENSP00000356030	9606.ENSP00000299367	0	0	0	0	0	0.692	0.900	0.559	0.985
COL3A1	COL6A3	4438049	4437161	9606.ENSP00000304408	9606.ENSP00000295550	0	0	0	0.571	0.802	0	0.900	0.720	0.985
TOP2A	KIF11	4448614	4434801	9606.ENSP00000411532	9606.ENSP00000260731	0	0	0	0	0.968	0	0	0.549	0.985
LYN	PTPN6	4449476	4447701	9606.ENSP00000428924	9606.ENSP00000391592	0	0	0	0	0.107	0.457	0.900	0.712	0.984
C2	C3	4437564	4433951	9606.ENSP00000299367	9606.ENSP00000245907	0	0	0	0	0.148	0.404	0.900	0.733	0.984
NUSAP1	TOP2A	4450429	4448614	9606.ENSP00000453403	9606.ENSP00000411532	0	0	0	0	0.966	0	0	0.562	0.984
