	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0033218	GO:0033218	amide binding	29/532	356/17697	1.253756507169751e-06	2.7151664358394918e-05	2.2806820673186592e-05	TLR2/CD14/FCGR2B/LILRB2/ITGB2/C1QA/FOLR2/TLR1/HLA-DPB1/HLA-DQB1/HLA-DRA/HLA-DRB1/ANPEP/HLA-DPA1/CD74/MARCO/TREM2/APBB2/BACE2/CRIP1/PLTP/PPIC/CD36/GRIA3/CLIP3/HLA-DQA1/NLGN1/GRIA2/BCHE	29
GO:0048018	GO:0048018	receptor ligand activity	34/532	482/17697	3.9873183838694075e-06	8.373368606125756e-05	7.033451567080647e-05	GMFG/CCL2/HAMP/CXCL12/CCL20/CCL5/IL32/FBN1/TNFSF10/IL1B/CCL18/GPNMB/CXCL6/TIMP1/IL6/IL18/CSPG5/CXCL2/CXCL1/MAPT/CXCL14/CXCL5/PPBP/CXCL3/CXCL13/EFEMP1/LIF/CCL4/SEMA3C/CXCL9/DKK1/SPP1/CXCL10/LGALS3	34
GO:0023023	GO:0023023	MHC protein complex binding	7/532	25/17697	6.401150909164958e-06	0.00013047051706033283	0.00010959245983802546	LILRB2/HLA-DMA/HLA-DMB/LILRB1/HLA-DRA/HLA-DRB1/CD74	7
GO:0050840	GO:0050840	extracellular matrix binding	10/532	57/17697	6.713408196949256e-06	0.00013292548229959527	0.00011165457843347183	CTSS/TGFBI/THBS1/DCN/CD248/ANXA2/LRRC15/SLIT2/SPP1/LGALS3	10
GO:0002020	GO:0002020	protease binding	15/532	128/17697	7.062329783643397e-06	0.00013594984833513538	0.00011419498158932161	IL1R1/CSTA/COL3A1/PYCARD/COL1A2/TNFAIP3/SERPINA1/COL1A1/FN1/FAP/SELL/TIMP1/ANXA2/SERPINE1/A2M	15
GO:0048407	GO:0048407	platelet-derived growth factor binding	5/532	11/17697	9.580213796205992e-06	0.0001794348151559663	0.00015072142899863198	COL3A1/COL1A2/COL1A1/COL5A1/COL4A1	5
GO:0001968	GO:0001968	fibronectin binding	7/532	27/17697	1.1223431474319385e-05	0.00020467994767640353	0.00017192680347087594	CTSS/THBS1/CTSK/IGFBP6/LRRC15/SDC4/IGFBP3	7
GO:0031406	GO:0031406	carboxylic acid binding	18/532	193/17697	2.2126917603095908e-05	0.0003931783051011658	0.00033026141523649226	S100A8/STAB1/CD33/S100A9/FOLR2/TDO2/ALOX5AP/LYVE1/P4HA2/BCAN/GAD1/APOC1/CD44/ASS1/NCAN/GLDC/TNFAIP6/FABP5	18
GO:0005540	GO:0005540	hyaluronic acid binding	6/532	21/17697	2.6490910923522497e-05	0.00045144222326154963	0.00037920186749242345	STAB1/LYVE1/BCAN/CD44/NCAN/TNFAIP6	6
GO:0004252	GO:0004252	serine-type endopeptidase activity	16/532	160/17697	2.6708702963526025e-05	0.00045144222326154963	0.00037920186749242345	CTSC/C1S/CFD/C2/CTSH/FAP/PLAU/HP/GZMA/CFI/PRSS23/LTF/MMP9/C1RL/MMP1/MMP7	16
GO:0019956	GO:0019956	chemokine binding	7/532	32/17697	3.733902617636546e-05	0.0006160939319100301	0.0005175058013917319	CCR1/CCR5/CXCR4/ZFP36/A2M/PDPN/CX3CR1	7
GO:0001664	GO:0001664	G protein-coupled receptor binding	22/532	280/17697	4.160080346744654e-05	0.0006704501582079174	0.0005631638755813449	GNA15/FPR1/CCL2/CXCL12/CCL20/CCL5/MARCO/CCL18/C3/CXCL6/CXCL2/CXCL1/CXCL14/CXCL5/PPBP/CXCL3/CXCL13/CCL4/CXCL9/FZD7/CXCL10/REEP1	22
GO:0043177	GO:0043177	organic acid binding	18/532	205/17697	4.939114968859939e-05	0.0007779106075954404	0.0006534283678898436	S100A8/STAB1/CD33/S100A9/FOLR2/TDO2/ALOX5AP/LYVE1/P4HA2/BCAN/GAD1/APOC1/CD44/ASS1/NCAN/GLDC/TNFAIP6/FABP5	18
GO:0023026	GO:0023026	MHC class II protein complex binding	5/532	16/17697	7.99355268634746e-05	0.0012042460894866934	0.0010115411065332142	HLA-DMA/HLA-DMB/HLA-DRA/HLA-DRB1/CD74	5
GO:0030169	GO:0030169	low-density lipoprotein particle binding	5/532	16/17697	7.99355268634746e-05	0.0012042460894866934	0.0010115411065332142	STAB1/THBS1/COLEC12/TREM2/CD36	5
GO:0055102	GO:0055102	lipase inhibitor activity	5/532	17/17697	0.00011045260425471514	0.0016285883989046296	0.001367979622684378	ANXA4/ANXA2/APOC1/APOC2/ANXA1	5
GO:0004867	GO:0004867	serine-type endopeptidase inhibitor activity	11/532	94/17697	0.00011840607536542842	0.0016938646018027422	0.001422810245001772	COL6A3/SERPINA1/SERPINB1/SERPINF1/SERPING1/PI3/SLPI/SERPINE1/A2M/SPINT2/SERPINA3	11
GO:0016504	GO:0016504	peptidase activator activity	7/532	38/17697	0.00011976820416787066	0.0016938646018027422	0.001422810245001772	PYCARD/CTSC/FN1/CTSH/CASP1/PCOLCE/CAV1	7
GO:0032395	GO:0032395	MHC class II receptor activity	4/532	10/17697	0.0001467903170629756	0.0020345137944928417	0.0017089483228594844	HLA-DQB1/HLA-DRA/HLA-DPA1/HLA-DQA1	4
GO:0008017	GO:0008017	microtubule binding	19/532	246/17697	0.00017106813362412554	0.0023245140510101763	0.001952542371396108	S100A8/S100A9/FSD1/MAP2/KIF15/KIF2C/MAPT/MX2/NUSAP1/NDRG1/PRC1/CLIP2/BIRC5/KIF11/DCX/CLIP3/KIF21B/REEP1/KIF5C	19
GO:0015631	GO:0015631	tubulin binding	23/532	336/17697	0.0002247068787875067	0.00289001649293116	0.0024275523970394646	S100A8/S100A9/LYN/FSD1/RGS2/MAP2/KIF15/KIF2C/MAPT/MX2/NUSAP1/NDRG1/PRC1/CLIP2/BIRC5/STMN4/KIF11/DCX/CLIP3/KIF21B/REEP1/KIF5C/STMN2	23
GO:0045236	GO:0045236	CXCR chemokine receptor binding	4/532	11/17697	0.00022519609035827218	0.00289001649293116	0.0024275523970394646	CXCL12/CXCL13/CXCL9/CXCL10	4
GO:0050786	GO:0050786	RAGE receptor binding	4/532	11/17697	0.00022519609035827218	0.00289001649293116	0.0024275523970394646	S100A8/FPR1/S100A9/S100A4	4
GO:0038024	GO:0038024	cargo receptor activity	10/532	85/17697	0.00022939566920718757	0.0028903854320105633	0.0024278622980205694	STAB1/CD163/ITGB2/DAB2/FOLR2/COLEC12/CFI/MARCO/CD36/ENPP2	10
GO:0042605	GO:0042605	peptide antigen binding	6/532	31/17697	0.00027840082771732143	0.0034452102430018528	0.0028939033407458415	HLA-DPB1/HLA-DQB1/HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DQA1	6
GO:0001848	GO:0001848	complement binding	5/532	21/17697	0.0003287931763974324	0.0039403683361064375	0.0033098256092760087	ITGB2/C5AR1/VSIG4/CD93/PTX3	5
GO:0004859	GO:0004859	phospholipase inhibitor activity	4/532	12/17697	0.0003297855173076095	0.0039403683361064375	0.0033098256092760087	ANXA4/ANXA2/APOC1/ANXA1	4
GO:0001618	GO:0001618	virus receptor activity	9/532	74/17697	0.000364529116501088	0.004210311295587567	0.0035365719548263452	CCR5/CD86/CD4/ANPEP/ICAM1/ITGA5/CXCR4/CLEC5A/CD55	9
GO:0104005	GO:0104005	hijacked molecular function	9/532	74/17697	0.000364529116501088	0.004210311295587567	0.0035365719548263452	CCR5/CD86/CD4/ANPEP/ICAM1/ITGA5/CXCR4/CLEC5A/CD55	9
GO:0071813	GO:0071813	lipoprotein particle binding	6/532	33/17697	0.00039799870680388386	0.004448598448630508	0.003736728096138333	STAB1/THBS1/COLEC12/TREM2/MAPT/CD36	6
GO:0071814	GO:0071814	protein-lipid complex binding	6/532	33/17697	0.00039799870680388386	0.004448598448630508	0.003736728096138333	STAB1/THBS1/COLEC12/TREM2/MAPT/CD36	6
GO:0001530	GO:0001530	lipopolysaccharide binding	6/532	35/17697	0.0005543485253489949	0.006097833778838943	0.005122050702055041	TLR2/CD14/LY96/TREM2/LTF/SPON2	6
GO:0019957	GO:0019957	C-C chemokine binding	5/532	24/17697	0.0006374713167979742	0.006902619102203064	0.005798053259692101	CCR1/CCR5/CXCR4/ZFP36/CX3CR1	5
GO:0001871	GO:0001871	pattern binding	5/532	25/17697	0.0007773278763837948	0.008115120830062389	0.006816528926899827	CLEC7A/HLA-DRA/HLA-DRB1/PTX3/ENPP2	5
GO:0030247	GO:0030247	polysaccharide binding	5/532	25/17697	0.0007773278763837948	0.008115120830062389	0.006816528926899827	CLEC7A/HLA-DRA/HLA-DRB1/PTX3/ENPP2	5
GO:0005044	GO:0005044	scavenger receptor activity	7/532	51/17697	0.0007845787815500433	0.008115120830062389	0.006816528926899827	STAB1/CD163/COLEC12/CFI/MARCO/CD36/ENPP2	7
GO:0001846	GO:0001846	opsonin binding	4/532	15/17697	0.0008463736594693221	0.008625543323709415	0.007245272967283827	ITGB2/VSIG4/CD93/PTX3	4
GO:0001637	GO:0001637	G protein-coupled chemoattractant receptor activity	5/532	26/17697	0.0009388586753136933	0.009163789605526612	0.0076973883980499995	CCR1/CCR5/CXCR4/CX3CR1/GPR17	5
GO:0004435	GO:0004435	phosphatidylinositol phospholipase C activity	5/532	26/17697	0.0009388586753136933	0.009163789605526612	0.0076973883980499995	CCR1/CCR5/PLCG2/CCL5/EDNRA	5
GO:0004950	GO:0004950	chemokine receptor activity	5/532	26/17697	0.0009388586753136933	0.009163789605526612	0.0076973883980499995	CCR1/CCR5/CXCR4/CX3CR1/GPR17	5
GO:0001784	GO:0001784	phosphotyrosine residue binding	6/532	40/17697	0.0011546776976641556	0.011113772840017497	0.009335332848074241	SYK/HCK/PLCG2/SAMSN1/PTPN6/FGR	6
GO:0004629	GO:0004629	phospholipase C activity	5/532	28/17697	0.0013349978980487156	0.012673336210243287	0.01064533291450526	CCR1/CCR5/PLCG2/CCL5/EDNRA	5
GO:0043028	GO:0043028	cysteine-type endopeptidase regulator activity involved in apoptotic process	6/532	42/17697	0.001500122851313876	0.014048447783250217	0.011800397393692368	PYCARD/TNFAIP8/CTSH/BIRC3/CASP1/BIRC5	6
GO:0043236	GO:0043236	laminin binding	5/532	29/17697	0.0015737457939578355	0.0145414111361704	0.012214476127139414	CTSS/THBS1/LRRC15/SLIT2/LGALS3	5
GO:0048020	GO:0048020	CCR chemokine receptor binding	6/532	43/17697	0.0016998299913169976	0.015499765578719465	0.013019473479200828	CCL2/CCL20/CCL5/CCL18/CXCL13/CCL4	6
GO:0016505	GO:0016505	peptidase activator activity involved in apoptotic process	4/532	19/17697	0.0021845931950011527	0.01940927030943332	0.016303374316270415	PYCARD/CTSC/CTSH/CASP1	4
GO:0098641	GO:0098641	cadherin binding involved in cell-cell adhesion	4/532	19/17697	0.0021845931950011527	0.01940927030943332	0.016303374316270415	S100A11/ANXA2/PDLIM1/ANXA1	4
GO:0048306	GO:0048306	calcium-dependent protein binding	7/532	61/17697	0.0022850657899550976	0.020044944208087122	0.016837326873353355	S100A4/S100A11/ANXA4/ANXA2/A2M/ANXA1/STMN2	7
GO:0004175	GO:0004175	endopeptidase activity	24/532	427/17697	0.002598345581883427	0.022508168603065187	0.01890638298396757	CTSS/PYCARD/CTSC/C1S/CFD/CTSB/C2/CTSH/FAP/CASP1/CASP4/PLAU/HP/GZMA/CFI/PRSS23/CTSK/ADAMTS1/LTF/MMP9/C1RL/BACE2/MMP1/MMP7	24
GO:0016638	GO:0016638	oxidoreductase activity, acting on the CH-NH2 group of donors	4/532	20/17697	0.0026665373821207696	0.022813708713699917	0.01916303017950339	LOX/VCAM1/LOXL1/GLDC	4
GO:0071723	GO:0071723	lipopeptide binding	3/532	10/17697	0.002768270302457905	0.023395259995162537	0.019651520889078584	TLR2/CD14/TLR1	3
GO:0005504	GO:0005504	fatty acid binding	5/532	34/17697	0.0032598104586599556	0.027217453588570476	0.022862082227507366	S100A8/S100A9/ALOX5AP/APOC1/FABP5	5
GO:0051219	GO:0051219	phosphoprotein binding	8/532	83/17697	0.0034619617262189664	0.02856118424130647	0.023990787400991084	SYK/HCK/PLCG2/SAMSN1/LYN/PTPN6/FGR/TOX3	8
GO:0004620	GO:0004620	phospholipase activity	9/532	102/17697	0.0036095799019253798	0.029428692612168093	0.024719475984702605	CCR1/CCR5/PLCG2/CCL5/HMOX1/PLA2G2A/EDNRA/ENPP2/PLA2G5	9
GO:0030021	GO:0030021	extracellular matrix structural constituent conferring compression resistance	4/532	22/17697	0.0038391593109583684	0.030580889683840796	0.02568729702310923	LUM/DCN/ASPN/FMOD	4
GO:0050431	GO:0050431	transforming growth factor beta binding	4/532	22/17697	0.0038391593109583684	0.030580889683840796	0.02568729702310923	TGFBR2/THBS1/LRRC32/CD36	4
GO:0045309	GO:0045309	protein phosphorylated amino acid binding	6/532	51/17697	0.004103686017195228	0.03231652738541242	0.02714519578360002	SYK/HCK/PLCG2/SAMSN1/PTPN6/FGR	6
GO:0016493	GO:0016493	C-C chemokine receptor activity	4/532	23/17697	0.0045384892738059195	0.03494636740830558	0.0293542054785342	CCR1/CCR5/CXCR4/CX3CR1	4
GO:0046625	GO:0046625	sphingolipid binding	4/532	23/17697	0.0045384892738059195	0.03494636740830558	0.0293542054785342	LYN/SELL/PLTP/CLIP3	4
GO:0016175	GO:0016175	superoxide-generating NADPH oxidase activity	3/532	12/17697	0.004852635670224476	0.0365530056463648	0.030703747432884846	NCF2/CYBB/CYBA	3
GO:0031994	GO:0031994	insulin-like growth factor I binding	3/532	12/17697	0.004852635670224476	0.0365530056463648	0.030703747432884846	IGFBP4/IGFBP6/IGFBP3	3
GO:0001965	GO:0001965	G-protein alpha-subunit binding	4/532	24/17697	0.0053186928652075175	0.03963284038267537	0.03329074311782408	RGS10/RGS2/GPSM2/RGS1	4
GO:0003779	GO:0003779	actin binding	23/532	431/17697	0.005895937863978445	0.04346686106103258	0.03651123895610393	AIF1/GMFG/CCR5/MYO1F/ARPC1B/HCLS1/S100A4/LCP1/TAGLN/SCIN/CAPG/CORO1A/CXCR4/FXYD5/SYNPO/PDLIM1/MAPT/MYLK/MARCKSL1/PLS3/GBP1/WASF1/EPB41L3	23
GO:0042043	GO:0042043	neurexin family protein binding	3/532	13/17697	0.006168903986143776	0.04500053118313302	0.03779948924473694	NLGN3/NLGN1/LRRTM2	3
GO:0042287	GO:0042287	MHC protein binding	5/532	40/17697	0.006653144932391286	0.048027389980699595	0.04034198626767963	CLEC7A/LILRB2/LILRB1/CD4/CD74	5
GO:0036041	GO:0036041	long-chain fatty acid binding	3/532	14/17697	0.007677959827452505	0.05485387794252151	0.0460760909884019	S100A8/S100A9/ALOX5AP	3
GO:0003823	GO:0003823	antigen binding	11/532	160/17697	0.009100314477208573	0.06435222380311777	0.054054499526276494	IL7R/HLA-DPB1/HLA-DQB1/HLA-DRA/HLA-DRB1/HLA-DPA1/LILRB4/CD48/SPON2/IGKC/HLA-DQA1	11
GO:0005161	GO:0005161	platelet-derived growth factor receptor binding	3/532	15/17697	0.009385856369448302	0.06439998479235319	0.054094617741583244	IL1R1/LYN/ITGA5	3
GO:0005545	GO:0005545	1-phosphatidylinositol binding	3/532	15/17697	0.009385856369448302	0.06439998479235319	0.054094617741583244	SCIN/SNX10/SNAP91	3
GO:0097153	GO:0097153	cysteine-type endopeptidase activity involved in apoptotic process	3/532	15/17697	0.009385856369448302	0.06439998479235319	0.054094617741583244	PYCARD/CASP1/CASP4	3
GO:0015026	GO:0015026	coreceptor activity	5/532	44/17697	0.009958057250406134	0.06765621249540638	0.05682977976753967	CCR5/CD86/LY96/CD4/CXCR4	5
GO:0008191	GO:0008191	metalloendopeptidase inhibitor activity	3/532	16/17697	0.01129754944616608	0.07456382634469613	0.06263202850856986	RARRES1/TIMP1/BST2	3
GO:0008656	GO:0008656	cysteine-type endopeptidase activator activity involved in apoptotic process	3/532	16/17697	0.01129754944616608	0.07456382634469613	0.06263202850856986	PYCARD/CTSH/CASP1	3
GO:0016641	GO:0016641	oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor	3/532	16/17697	0.01129754944616608	0.07456382634469613	0.06263202850856986	LOX/VCAM1/LOXL1	3
GO:0004715	GO:0004715	non-membrane spanning protein tyrosine kinase activity	5/532	46/17697	0.011970969085958679	0.07826303374122043	0.06573928405695283	SYK/HCK/SLA/LYN/FGR	5
GO:0050664	GO:0050664	oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor	3/532	17/17697	0.013416974472343527	0.08689685335826228	0.07299150893463818	NCF2/CYBB/CYBA	3
